District,Block,Gram Panchayat,Village,Beneficiary_Count
Angul,ANGUL,BADAKANTAKUL,KARABIRA,8
Angul,ANGUL,JAGANNATHPUR,ASANABAHAL,3
Angul,ANGUL,JAGANNATHPUR,REJECTED,1
Angul,ANGUL,JAGANNATHPUR,SALORE,8
Angul,ANGUL,JAGANNATHPUR,TARAVA,23
Angul,ANGUL,PURUNAKOTE,BHRUKUNDI,22
Angul,ANGUL,PURUNAKOTE,GOPALPUR,8
Angul,ATHAMALLIK,AMBASARMUNDA,AMSARMUNDA,1
Angul,ATHAMALLIK,AMBASARMUNDA,CHINTAMANIPUR,4
Angul,ATHAMALLIK,AMBASARMUNDA,DINABANDHUPUR,1
Angul,ATHAMALLIK,AMBASARMUNDA,GIRIDA,1
Angul,ATHAMALLIK,AMBASARMUNDA,HINJAGOLA,5
Angul,ATHAMALLIK,AMBASARMUNDA,NABADIPAPUR,2
Angul,ATHAMALLIK,AMBASARMUNDA,NILAMARA,2
Angul,ATHAMALLIK,AMBASARMUNDA,PATHAKHAMAN,1
Angul,ATHAMALLIK,AMBASARMUNDA,PHULURIBANIA,4
Angul,ATHAMALLIK,BHAGAMUNDA,BHAGAMUNDA,3
Angul,ATHAMALLIK,JAMUDULI,KODASINGHA,13
Angul,ATHAMALLIK,KRUTIBASPUR,JARPADA,2
Angul,ATHAMALLIK,KUDAGOAN,KANDHAPALI,2
Angul,ATHAMALLIK,KURUMTAP,DAMODARPUR,11
Angul,ATHAMALLIK,NAGAN,JADUPUR,5
Angul,ATHAMALLIK,NAGAN,SANADUDHIANALI,10
Angul,ATHAMALLIK,NAGAON,SANADUDHIANALI,12
Angul,ATHAMALLIK,PURUNAMANITRI,HINGAMANDAL,4
Angul,ATHAMALLIK,SANAHULA,TALEIPATHAR,8
Angul,ATHAMALLIK,TAINSI,HINJAGOLA,5
Angul,ATHAMALLIK,THAKURGARH,ANANADAPUR,3
Angul,ATHAMALLIK,THAKURGARH,ANANDAPUR,5
Angul,ATHAMALLIK,THAKURGARH,CHERAKHANDI,1
Angul,ATHAMALLIK,THAKURGARH,JOGIBANDHA,1
Angul,ATHAMALLIK,THAKURGARH,NUA ARKHAKUD,3
Angul,ATHAMALLIK,THAKURGARH,SADANANDAPUR,6
Angul,ATHAMALLIK,THAKURGARH,THAKURGARH,2
Angul,CHHENDIPADA,KATADA,DAHIMAL,43
Angul,KANIHA,BALIPASI,KALIADAMA,24
Angul,KANIHA,BALIPASI,LODHAJHARI,17
Angul,KANIHA,KANIHA,BALARAMPUR,2
Angul,KISHORENAGAR,KURUMTAP,KURUNTAP,10
Angul,KISHORENAGAR,NAKCHI,MANAKADACHUA,3
Angul,KISHORENAGAR,NAKCHI,TAKABA,2
Angul,NAME OF THE BLOCK,NAME OF THE GRAM PANCHAYAT,NAME OF THE VILLAGE,66
Angul,PALLAHARA,ALLORI,NAUNGAON,7
Angul,PALLAHARA,ALLORI,NUAGOAN,14
Angul,PALLAHARA,ALLORI,NUANGAON,3
Angul,PALLAHARA,BADASADA,BADASADA,10
Angul,PALLAHARA,BADASADA,CHAKRADHARAPUR,4
Angul,PALLAHARA,BADASADA,TAMBUR,4
Angul,PALLAHARA,BANDHABHUIN,BALIBAHAL,1
Angul,PALLAHARA,BANDHABHUIN,BHIMAKAND,23
Angul,PALLAHARA,BANDHABHUIN,BHIMAKANDA,14
Angul,PALLAHARA,BANDHABHUIN,DAIPANI,70
Angul,PALLAHARA,BANDHABHUIN,GANESARPUR,18
Angul,PALLAHARA,BANDHABHUIN,GANESWARPUR,5
Angul,PALLAHARA,BANDHABHUIN,JAMARDIHI PAUDI,133
Angul,PALLAHARA,BANDHABHUIN,KURTIBASPUR,9
Angul,PALLAHARA,BANDHABHUIN,PATTAMUNDA,73
Angul,PALLAHARA,BANDHABHUIN,SIARIA,32
Angul,PALLAHARA,BATISUAN,BAHADAKANI,7
Angul,PALLAHARA,BATISUAN,BATISUAN,2
Angul,PALLAHARA,BATISUAN,KARADAPAL,2
Angul,PALLAHARA,BATISUAN,KORADA,1
Angul,PALLAHARA,BATISUAN,PAUNSIA,2
Angul,PALLAHARA,BATISUAN,PURUNAPANI,23
Angul,PALLAHARA,BATISUAN,RAJNO,1
Angul,PALLAHARA,BATISUAN,RANJANA,29
Angul,PALLAHARA,BATISUAN,RANJO,11
Angul,PALLAHARA,BATISUAN,RENGALI,14
Angul,PALLAHARA,BATISUAN,TIRIB,3
Angul,PALLAHARA,CHADAGURUJANG,CHADAGURUJANG,1
Angul,PALLAHARA,CHASAGURUJANG,CHASAGURUJANG,21
Angul,PALLAHARA,CHASAGURUJANG,SUSHABA,20
Angul,PALLAHARA,DIMIRIA,BATISUAN,9
Angul,PALLAHARA,DIMIRIA,JHIMIRIPALI,15
Angul,PALLAHARA,DIMIRIA,PULAJHARI,24
Angul,PALLAHARA,DIMIRIA,RANJA,12
Angul,PALLAHARA,DIMIRIA,RANJO,1
Angul,PALLAHARA,INGIDI,RAGHUNATHPUR,19
Angul,PALLAHARA,INGIDI,SANDA,3
Angul,PALLAHARA,ISWARNAGAR,BARHAKUDAR,37
Angul,PALLAHARA,ISWARNAGAR,GODAPADA,36
Angul,PALLAHARA,ISWARNAGAR,ILLISUAN,37
Angul,PALLAHARA,ISWARNAGAR,KAINSIRIPALI,56
Angul,PALLAHARA,ISWARNAGAR,KEREJENGA,9
Angul,PALLAHARA,ISWARNAGAR,KSHETRABASIPUR,7
Angul,PALLAHARA,ISWARNAGAR,SAMAL,48
Angul,PALLAHARA,ISWARNAGAR,SUSAB,1
Angul,PALLAHARA,JHARBEDA,BOITASARI,13
Angul,PALLAHARA,JHARBEDA,JAMBUA,74
Angul,PALLAHARA,JHARBEDA,JHARBEDA,13
Angul,PALLAHARA,JHARBEDA,NUGUDA,41
Angul,PALLAHARA,JHARBEDA,SUSABANALI,16
Angul,PALLAHARA,JHARBEDA,TALABAHALI,22
Angul,PALLAHARA,JHARBEDA,TAMBUR,9
Angul,PALLAHARA,KANTIAPASI,KANTIPASI COLONY,1
Angul,PALLAHARA,KARADAPAL,BANDHAKANI,28
Angul,PALLAHARA,KARADAPAL,BISHNUPUR,4
Angul,PALLAHARA,KARADAPAL,DAMODARPUR,17
Angul,PALLAHARA,KARADAPAL,KARADAPAL,51
Angul,PALLAHARA,KARADAPAL,NANDIJHARI,8
Angul,PALLAHARA,KARADAPAL,SAHARAGURUJANGA,26
Angul,PALLAHARA,KARADAPAL,SAHARGURUJANG,19
Angul,PALLAHARA,KARADAPAL,TIRIB,18
Angul,PALLAHARA,KHEMALA,BANARA,16
Angul,PALLAHARA,KHEMALA,FULJHARI,26
Angul,PALLAHARA,KHEMALA,HATIBINDHA,4
Angul,PALLAHARA,KHEMALA,PHULAJHARI,10
Angul,PALLAHARA,KHEMALA,SUKADEPUR,4
Angul,PALLAHARA,KHEMALA,SUKADEVPUR,6
Angul,PALLAHARA,KUNJAM,CHHANCHUNIA,18
Angul,PALLAHARA,MUNDURIBEDA,BISHNUPUR,6
Angul,PALLAHARA,MUNDURIBEDA,DHARIPATHAR,1
Angul,PALLAHARA,MUNDURIBEDA,MUNDURIBEDA,53
Angul,PALLAHARA,MUNDURIBEDA,NANDIJHARI,17
Angul,PALLAHARA,NAGIRA,BABUNDIHA,24
Angul,PALLAHARA,NAGIRA,BALIBAHAL,13
Angul,PALLAHARA,NAGIRA,BARADIHA,33
Angul,PALLAHARA,NAGIRA,KADAMBINIPUR,28
Angul,PALLAHARA,NAGIRA,KAIRA,37
Angul,PALLAHARA,NAGIRA,NAGIRA,77
Angul,PALLAHARA,NAGIRA,RADA,47
Angul,PALLAHARA,NAGIRA,RUGUDIDIHA,36
Angul,PALLAHARA,NAGIRA,SALEI,89
Angul,PALLAHARA,NAGIRA,SANDHAR,44
Angul,PALLAHARA,NAGIRA,SIBIDA,66
Angul,PALLAHARA,NAGIRA,TANUGOLA,67
Angul,PALLAHARA,NAMAPASI,BALIBAHAL,33
Angul,PALLAHARA,NAMAPASI,NAMAGOAN,22
Angul,PALLAHARA,NAMAPASI,NAMGAON,1
Angul,PALLAHARA,NIZIGARH,MUCHURIGADIUA,27
Angul,PALLAHARA,NIZIGARH,SUBARNAPALI,4
Angul,PALLAHARA,PARACHHAT,BAHADAKANI,29
Angul,PALLAHARA,PARACHHAT,CHAKRADHARPUR,1
Angul,PALLAHARA,PARACHHAT,HATIMUND,1
Angul,PALLAHARA,PARACHHAT,KANTIPASI COLONY,5
Angul,PALLAHARA,PARACHHAT,KHANATAPASHI,3
Angul,PALLAHARA,PARACHHAT,KHANATAPASI,1
Angul,PALLAHARA,PARACHHAT,KHANTAPASI,3
Angul,PALLAHARA,PARACHHAT,PARAMANANDAPUR,12
Angul,PALLAHARA,PARACHHAT,RAJADANG,1
Angul,PALLAHARA,PARACHHAT,VETIA,7
Angul,PALLAHARA,RAJADANG,GANJEIMUNI,11
Angul,PALLAHARA,RAJADANG,PAUNSIA,6
Angul,PALLAHARA,RAJADANG,RAJADANG,1
Angul,PALLAHARA,RAJADANG,RANJANA,2
Angul,PALLAHARA,RAJADANG,SANKHAMUR,1
Angul,PALLAHARA,RAJADANG,SATYAGAON,3
Angul,PALLAHARA,RAJDANG,BADAGUNDA,11
Angul,PALLAHARA,RAJDANG,DWITIKRISHNAPUR,11
Angul,PALLAHARA,RAJDANG,GANJEIMUNI,11
Angul,PALLAHARA,RAJDANG,PAUNSIA,28
Angul,PALLAHARA,RAJDANG,RAJADANGA,6
Angul,PALLAHARA,RENGALI,RENGALI,14
Angul,PALLAHARA,ROHILA,BHAJPUR,2
Angul,PALLAHARA,ROHILA,JAUMIBANDHA,1
Angul,PALLAHARA,ROHILA,KHANATAPASI,3
Angul,PALLAHARA,ROHILA,SANDHAMUNDA,1
Angul,PALLAHARA,ROHILA,TAMBUR,2
Angul,PALLAHARA,SAIDA,KANTALA,18
Angul,PALLAHARA,SAIDA,RAJAMUNDA,1
Angul,PALLAHARA,SANKHAMUR,PITTA,15
Angul,PALLAHARA,SANKHAMUR,SATYAGOAN,25
Angul,PALLAHARA,SEEGARH,JAMBUA,1
Angul,PALLAHARA,SEEGARH,KAMPARKALA,7
Angul,PALLAHARA,SEEGARH,KAMPARKILA,1
Angul,PALLAHARA,SEEGARH,KARADAPAL,12
Angul,PALLAHARA,SEEGARH,KOLIPAL,12
Angul,PALLAHARA,SEEGARH,MANKADACHUA,8
Angul,PALLAHARA,SEEGARH,SAMIAPALI,1
Angul,PALLAHARA,SEEGARH,SEEGARH,22
Angul,PALLAHARA,SEEGARH,SUBARNAPALI,16
Angul,PALLAHARA,SEEGARH,TAMBUR,1
Angul,PALLAHARA,SEEGARH,TIMI,42
Angul,TALCHER,BRAJANATHPUR,GODIBANDHA,8
Angul,TALCHER,PADMABATIPUR,BARAPALI,3
Angul,TALCHER,PADMABATIPUR,JORAGADIA,26
