District,Block,Gram Panchayat,Village,Beneficiary_Count
Balasore,BALIAPAL,BETAGADIA,BETAGADIA,4
Balasore,BALIAPAL,DAGARA,JUGADIHA,4
Balasore,BLOCK,GRAM PANCHAYAT,VILLAGE,52
Balasore,JALESWAR,BANIDA,SUGO,17
Balasore,JALESWAR,DHARAMPUR,KALIKO,2
Balasore,JALESWAR,KALIKA SAMIL DHARAMPUR,KALIKO,3
Balasore,JALESWAR,KALIKO,KALIKO,8
Balasore,JALESWAR,KHUARD,KHUARD,36
Balasore,JALESWAR,SHAYMNAGAR,SHYAMNAGAR,17
Balasore,NILGIRI,ARABANDHA,ARABANDH,44
Balasore,NILGIRI,ARABANDHA,ARBANDHA,36
Balasore,NILGIRI,ARABANDHA,B. NATASAHI,13
Balasore,NILGIRI,ARABANDHA,BAGHAJANTA,3
Balasore,NILGIRI,ARABANDHA,DAHISAHI,7
Balasore,NILGIRI,ARABANDHA,DHABANI,1
Balasore,NILGIRI,ARABANDHA,GHUSURIKILA,14
Balasore,NILGIRI,ARABANDHA,KALONI DAHISAHI,2
Balasore,NILGIRI,BALICHUA BHUMIJ,ASANABANI,1
Balasore,NILGIRI,BEGUNIA,BEGUNIA,91
Balasore,NILGIRI,BERHAMPUR,ANLAPAL,7
Balasore,NILGIRI,BERHAMPUR,BHOUDIA,6
Balasore,NILGIRI,BERHAMPUR BHUMIJ,BHOUDIA,19
Balasore,NILGIRI,BERHAMPUR BHUMIJ(ST),BETAKATA,2
Balasore,NILGIRI,BERHAMPUR SANTAL,BHOUDIA,1
Balasore,NILGIRI,BERHAMPUR SANTAL(ST),BETAKATA,1
Balasore,NILGIRI,BHAUNRIABAD,AMBADIHA,3
Balasore,NILGIRI,BHAUNRIABAD,ANANDAPUR,6
Balasore,NILGIRI,BHAUNRIABAD,BALIAJHAR,12
Balasore,NILGIRI,BHAUNRIABAD,BAYARSAHI,15
Balasore,NILGIRI,BHAUNRIABAD,BAYASAHI,2
Balasore,NILGIRI,BHAUNRIABAD,BHAGABANDH,1
Balasore,NILGIRI,BHAUNRIABAD,BHAUNRIABAD,92
Balasore,NILGIRI,BHAUNRIABAD,BURUINSAHI,3
Balasore,NILGIRI,BHAUNRIABAD,GODISUL,1
Balasore,NILGIRI,BHAUNRIABAD,GUDISUL,13
Balasore,NILGIRI,BHAUNRIABAD,HATIMUNDA,70
Balasore,NILGIRI,BHAUNRIABAD,JENADAHI,13
Balasore,NILGIRI,BHAUNRIABAD,KAMARKHALIA,18
Balasore,NILGIRI,BHAUNRIABAD,KANTASIMULIA,13
Balasore,NILGIRI,BHAUNRIABAD,KANTHASIMULIA,19
Balasore,NILGIRI,BHAUNRIABAD,KUDUMIPAL,3
Balasore,NILGIRI,BHAUNRIABAD,MATILAI,2
Balasore,NILGIRI,BHAUNRIABAD,SARISHAKANDA,1
Balasore,NILGIRI,BHAUNRIABAD,SORISAKANDA,13
Balasore,NILGIRI,BHAUNRIABAD,TENTULAPADA,31
Balasore,NILGIRI,BHAUNRIABAD,TULASIDIHA,19
Balasore,NILGIRI,BHAUNRIABAD BHUMIJ (ST),HATIMUNDA,1
Balasore,NILGIRI,BHAUNRIABAD SANTAL ST),HATIMUNDA,1
Balasore,NILGIRI,CHEKAMARA,ASANBANI,1
Balasore,NILGIRI,CHEKAMARA BHUMIJ,ASANABANI,2
Balasore,NILGIRI,CHEKAMARA BHUMIJ,ASANBANI,2
Balasore,NILGIRI,CHHATRAPUR,KADUANI,13
Balasore,NILGIRI,CHHATRAPUR KOLHA (ST),KADUANI,1
Balasore,NILGIRI,CHHATRAPUR SANTAL(ST),KADUANI,12
Balasore,NILGIRI,GARADIHI,ASANBANI,2
Balasore,NILGIRI,GARADIHI,ASTARUKHI,19
Balasore,NILGIRI,GARADIHI,BALICHUA,7
Balasore,NILGIRI,GARADIHI,BANDHASAHI,1
Balasore,NILGIRI,GARADIHI,CHEKAMARA,1
Balasore,NILGIRI,GARADIHI,DUMURIA,1
Balasore,NILGIRI,GARADIHI,KUNCHIBANIA,24
Balasore,NILGIRI,GARADIHI,RAMSINGSAHI,2
Balasore,NILGIRI,GARADIHI,SIARIMAL,18
Balasore,NILGIRI,GARADIHI,TELIPAL,1
Balasore,NILGIRI,GARADIHI,TIAKATA (BHALUKASUNI),1
Balasore,NILGIRI,GARADIHI BHUMIJ,ASANBANI,4
Balasore,NILGIRI,GARADIHI BHUMIJ,BALICHUA,6
Balasore,NILGIRI,GARADIHI BHUMIJ,CHEKAMARA,2
Balasore,NILGIRI,GARADIHI BHUMIJ,KALAKAD,1
Balasore,NILGIRI,GARADIHI BHUMIJ,TIAKATA,2
Balasore,NILGIRI,GARADIHI BHUMIJ,TIAKATA (BHALUKASUNI),2
Balasore,NILGIRI,GARADIHI BHUMIJ(ST),AMBAJHAR,7
Balasore,NILGIRI,GARADIHI BHUMIJ(ST),BALICHUA,3
Balasore,NILGIRI,GARADIHI BHUMIJ(ST),CHEKAMARA,4
Balasore,NILGIRI,GARADIHI BHUMIJ(ST),DWARIKASUNI,9
Balasore,NILGIRI,GARADIHI BHUMIJ(ST),KALAKAD,2
Balasore,NILGIRI,GARADIHI BHUMIJ(ST),RANGAMATIA,1
Balasore,NILGIRI,GARADIHI BHUMIJ(ST),SIADIMAL,7
Balasore,NILGIRI,GARADIHI BHUMIJ(ST),SIARIMAL,3
Balasore,NILGIRI,GARADIHI BHUMIJ(ST),TELIPAL,2
Balasore,NILGIRI,GARADIHI KOLHA,TIAKATA,4
Balasore,NILGIRI,GARADIHI KOLHA,TIAKATA (BHALUKASUNI),6
Balasore,NILGIRI,GARADIHI KOLHA,TIAKATA (SAJANAGARH),1
Balasore,NILGIRI,GARADIHI KOLHA,TIAKATA(KALAKAD),3
Balasore,NILGIRI,GARADIHI KOLHA(ST),DWARIKASUNI,7
Balasore,NILGIRI,GARADIHI KOLHA(ST),KALAKAD,2
Balasore,NILGIRI,GARADIHI KOLHA(ST),KHAIRINAL,1
Balasore,NILGIRI,GARADIHI KOLHA(ST),KUNCHIBANIA,5
Balasore,NILGIRI,GARADIHI KOLHA(ST),RANGAMATIA,2
Balasore,NILGIRI,GARADIHI KOLHA(ST),TELIPAL,1
Balasore,NILGIRI,GARADIHI KOLHA(ST),TELIPAL-2,1
Balasore,NILGIRI,GARADIHI SANTAL(ST),DWARIKASUNI,1
Balasore,NILGIRI,GARADIHI SANTAL(ST),KUNCHABANIA,1
Balasore,NILGIRI,GARADIHIB HUMIJ(ST),CHEKAMARA,1
Balasore,NILGIRI,GARADIHIB HUMIJ(ST),SIADIMAL,1
Balasore,NILGIRI,GARADIHIK OLHA(ST),DWARIKASUNI,1
Balasore,NILGIRI,JAMUDIHA,BARIPAL,3
Balasore,NILGIRI,JAMUDIHA SANTAL (ST),JAMUDIHA,2
Balasore,NILGIRI,KC PUR,ASHOKNAL,1
Balasore,NILGIRI,KC PUR,BADHEIPALA,9
Balasore,NILGIRI,KC PUR,BARAKHEDA,3
Balasore,NILGIRI,KC PUR,BATISAHI,1
Balasore,NILGIRI,KC PUR,BETAKATA,311
Balasore,NILGIRI,KC PUR,BHALIAPOSI,18
Balasore,NILGIRI,KC PUR,GABAPAL,2
Balasore,NILGIRI,KC PUR,GANDHARIPADA,2
Balasore,NILGIRI,KC PUR,GOBAPAL,2
Balasore,NILGIRI,KC PUR,HATIKUT,2
Balasore,NILGIRI,KC PUR,HATIKUTA,16
Balasore,NILGIRI,KC PUR,JAMUNA,6
Balasore,NILGIRI,KC PUR,JIGHIA,1
Balasore,NILGIRI,KC PUR,KAIMAHUDI,25
Balasore,NILGIRI,KC PUR,KELAMARA,14
Balasore,NILGIRI,KC PUR,MAHUGADI,2
Balasore,NILGIRI,KC PUR,MAHULABANI,11
Balasore,NILGIRI,KC PUR,RABIGHAT,1
Balasore,NILGIRI,KC PUR,RISSIA,77
Balasore,NILGIRI,KC PUR,RISSIA (BADHEIPALA),2
Balasore,NILGIRI,KC PUR,RISSIA (BHALIAPOSI),2
Balasore,NILGIRI,KC PUR,RISSIA (HA1KUTA),1
Balasore,NILGIRI,KC PUR,RISSIA (JAMUNA),1
Balasore,NILGIRI,KC PUR,RISSIA (KAIMAHUDI),2
Balasore,NILGIRI,KC PUR,RISSIA (KELAMARA),2
Balasore,NILGIRI,KC PUR,RISSIA (MAHUGADI ),1
Balasore,NILGIRI,KC PUR,RISSIA (SAGANALA ),1
Balasore,NILGIRI,KC PUR,RISSIA (SARUPHINKA),2
Balasore,NILGIRI,KC PUR,RISSIA (VALIAPADA ),1
Balasore,NILGIRI,KC PUR,SAGANAL,1
Balasore,NILGIRI,KC PUR,SAGANALA,14
Balasore,NILGIRI,KC PUR,SARUCHAMPA,5
Balasore,NILGIRI,KC PUR,SARUPHINKA,3
Balasore,NILGIRI,KC PUR,TALAASHOKANALA,1
Balasore,NILGIRI,KC PUR,TULUNKADAB,27
Balasore,NILGIRI,KP LAKHRAJ,CHANDIPUR,47
Balasore,NILGIRI,KP LAKHRAJ,CHATRIKHUNTA,45
Balasore,NILGIRI,MA1ALI BATHUDI,DHAPADA,1
Balasore,NILGIRI,MA1ALI BATHUDI,SRIPATI,1
Balasore,NILGIRI,MA1ALI BHUMIJ,DUMURIA,5
Balasore,NILGIRI,MA1ALI BHUMIJ,MAHABALISAHI,5
Balasore,NILGIRI,MA1ALI BHUMIJ,PATHARGUMURA,14
Balasore,NILGIRI,MA1ALI BHUMIJ,RAMASINGHASAHI,1
Balasore,NILGIRI,MA1ALI BHUMIJ,RAMASINGHSAHI,9
Balasore,NILGIRI,MA1ALI BHUMIJ,RAMSINGSAHI,1
