District,Block,Gram Panchayat,Village,Beneficiary_Count
Bargarh,AMBABHONA,AMBABHONA,JHARPALI,7
Bargarh,AMBABHONA,AMBABHONA,KHAPRAKHOL,26
Bargarh,AMBABHONA,AMBABHONA,MUNDAKATI,13
Bargarh,AMBABHONA,AMBABHONA,MUNDKATI,27
Bargarh,AMBABHONA,BHUKTA,BHUKTA,23
Bargarh,AMBABHONA,DEBRIGARH,DEBRIGARH,4
Bargarh,AMBABHONA,KANDAPALA,BIRJUPALI,6
Bargarh,AMBABHONA,KANDAPALA,KANDPALA,14
Bargarh,AMBABHONA,KANDAPALA,RAMPELLA,2
Bargarh,AMBABHONA,LAKHANPUR,DEBRIGARH,4
Bargarh,AMBABHONA,LAKHANPUR,JHAGADA BEHERA,20
Bargarh,ATTABIRA,JANGED,DHEMSA,1
Bargarh,ATTABIRA,JANGED,JANGED,1
Bargarh,ATTABIRA,KHARMUNDA,JUJUGAON,3
Bargarh,ATTABIRA,KHARMUNDA,JUNANI,1
Bargarh,ATTABIRA,KHARMUNDA,KHARMUNDA,2
Bargarh,ATTABIRA,KHARMUNDA,LAMBIPALI,15
Bargarh,ATTABIRA,KHARMUNDA,RUJHENMAL,2
Bargarh,ATTABIRA,KHARMUNDA,RUNIPALI,6
Bargarh,ATTABIRA,LAHANDA,LAHANDA,11
Bargarh,ATTABIRA,RUJHENMAL,RUJHENMAL,1
Bargarh,ATTABIRA,TANGARPALI,JUNANI,6
Bargarh,ATTABIRA,TANGARPALI,NUAPADA,2
Bargarh,ATTABIRA,TANGARPALI,RUJHENMAL,6
Bargarh,BARGARH,BARAHAGODA,BARAHAGODA,14
Bargarh,BARGARH,GAISAMA,GAISAMA,2
Bargarh,BARGARH,KURUAN,BAUSENPALI,12
Bargarh,BARGARH,NILESWAR,BANDENBAHAL,26
Bargarh,BHATLI,BANJIPALI,DECHUAN,27
Bargarh,BHATLI,DUMALPALI,KHARSEL,3
Bargarh,BHATLI,KELENDAPALI,JAGATIPALI,28
Bargarh,BHEDEN,AINLAPALI,DHUBENPALI,1
Bargarh,BHEDEN,BHEDEN,JANDOL,2
Bargarh,BHEDEN,RESHAM,ICHHAPADAR,1
Bargarh,BHEDEN,SIALKHANDAHATA,SARASPALI,2
Bargarh,BHEDEN,SIALKHANDAHATA,SIALKHANDAHATA,6
Bargarh,BHEDEN,SUNALARAMBHA,SUNALARAMBHA,9
Bargarh,BIJEPUR,PAHANDI,JAMAPALI,1
Bargarh,BIJEPUR,TALPADAR,K. NUANPALI,1
Bargarh,GAISILAT,GOURENMUNDA,SALEPALI,3
Bargarh,GAISILAT,KANDAGAD,KAMALPADAR,2
Bargarh,GAISILAT,KANDAGAD,KANDAGAD,1
Bargarh,GAISILAT,KANDAGARH,KAMALPADAR,1
Bargarh,GAISILAT,KATABAHAL,DANGARMUNDA,1
Bargarh,GAISILAT,KATABAHAL,KATABAHAL,3
Bargarh,GAISILAT,KATABAHAL,KULIARY,7
Bargarh,GAISILAT,PHIRINGIMAL,CHHINDRAPALI,5
Bargarh,GAISILAT,PHIRINGIMAL,NATABARPUR,14
Bargarh,GAISILAT,PHIRINGIMAL,SANKRIPANI,7
Bargarh,GAISILAT,SARDHAPALI,LEBIDI,8
Bargarh,GAISILAT,TALPALI,JANKEDA,23
Bargarh,GAISILAT,TALPALI,KHUNTPALI,6
Bargarh,JHARBANDH,AMETHI,BAITALI,1
Bargarh,JHARBANDH,AMETHI,DHANESWAR,1
Bargarh,JHARBANDH,AMETHI,TUHUNGIDADAR,1
Bargarh,JHARBANDH,AMETHI,TUMRIPANI,2
Bargarh,JHARBANDH,AMITHI,AMTHI,2
Bargarh,JHARBANDH,AMITHI,BAITALI,8
Bargarh,JHARBANDH,BHAINSADARAH,BHAINSADARAH,4
Bargarh,JHARBANDH,BHAINSADARHA,BHAINSADARAH,2
Bargarh,JHARBANDH,BHAINSADARHA,BHAINSADARAHA,4
Bargarh,JHARBANDH,BHANDARPURI,BBHANDARPURI,1
Bargarh,JHARBANDH,BHANDARPURI,BHANDARPURI,11
Bargarh,JHARBANDH,BHANDARPURI,JAMPALI,2
Bargarh,JHARBANDH,BHANDARPURI,KUKURIPALI,8
Bargarh,JHARBANDH,BHANDARPURI,SUKMANIPUR,12
Bargarh,JHARBANDH,BHANDARPURI,SUKMARIPUR,1
Bargarh,JHARBANDH,BHANDARPURI,SUKUMARIPUR,3
Bargarh,JHARBANDH,BHNDARPURI,SUKMARIPUR,1
Bargarh,JHARBANDH,BHNDARPURI,SUKUMARIPUR,1
Bargarh,JHARBANDH,BILASHPUR,BILASHPUR,3
Bargarh,JHARBANDH,BILASHPUR,ISKINDA,1
Bargarh,JHARBANDH,BILASPUIR,BILASHPUR,1
Bargarh,JHARBANDH,BILASPUR,BHANDARJORI,15
Bargarh,JHARBANDH,BILASPUR,BILASHPUR,25
Bargarh,JHARBANDH,BILASPUR,BILASPUR,63
Bargarh,JHARBANDH,BILASPUR,ISKINDA,12
Bargarh,JHARBANDH,BILASPUR,NITYANANDPUR,9
Bargarh,JHARBANDH,CHHOTANKI,CHHOTANKI,7
Bargarh,JHARBANDH,DAVA,ANGUL,6
Bargarh,JHARBANDH,DAVA,DAVA,16
Bargarh,JHARBANDH,DAVA,RAJENDRAPUR,8
Bargarh,JHARBANDH,GOTHUGODA,DUNGURICHADHA,5
Bargarh,JHARBANDH,GOTHUGODA,KAFRODGANJ,1
Bargarh,JHARBANDH,GOTHUGODA,KARFODGANJ,23
Bargarh,JHARBANDH,GOTHUGODA,KRAPADGANJ,1
Bargarh,JHARBANDH,GOTHUGODA,PAGARPANI,2
Bargarh,JHARBANDH,GOTHUGUDA,PAGARPANI,2
Bargarh,JHARBANDH,JHARBANDH,JHARBANDH,5
Bargarh,JHARBANDH,JHARBANDH,TURLA,7
Bargarh,JHARBANDH,KANDADANGAR,BANDAMUNDA,2
Bargarh,JHARBANDH,KANDADANGAR,KANDADANGAR,3
Bargarh,JHARBANDH,KANDHADANGAR,BANDAMUNDA,4
Bargarh,JHARBANDH,KUMIR,KUMIR,3
Bargarh,JHARBANDH,KUMIR,LERGAON,5
Bargarh,JHARBANDH,KURLUPALI,BEHERADUBURI,4
Bargarh,JHARBANDH,KURLUPALI,BEHERADUNURI,1
Bargarh,JHARBANDH,KURLUPALI,DABAPALI,4
Bargarh,JHARBANDH,KURLUPALI,KURLUPALI,3
Bargarh,JHARBANDH,KURLUPALI,UREIDADAR,13
Bargarh,JHARBANDH,RAJENDRAPUR,RAJENDRAPUR,1
Bargarh,NAME OF THE BLOCK,NAME OF THE G.P.,NAME OF THE VILLAGE,22
Bargarh,PAIKMAL,BARTUNDA,BHUINKHAR,11
Bargarh,PAIKMAL,BHENGRAJPUR,LERGAON,2
Bargarh,PAIKMAL,BHENGRAJPUR,SADANANDPUR,1
Bargarh,PAIKMAL,BUKRAMUNDA,MAHULPALI,1
Bargarh,PAIKMAL,CHHINDEIKELA,BARAPARLIA,2
Bargarh,PAIKMAL,CHHINDEIKELA,CHHINDEIKELA,26
Bargarh,PAIKMAL,CHHINDEIKELA,MALPADA,12
Bargarh,PAIKMAL,JAMSETH,BHERUAMUNDA,10
Bargarh,PAIKMAL,JAMSETH,JAMSETH,5
Bargarh,PAIKMAL,JAMSETH,KHARAMAL,7
Bargarh,PAIKMAL,JHARBANDH,JALGARH,9
Bargarh,PAIKMAL,JHARBANDH,JHARBANDH,13
Bargarh,PAIKMAL,JHARBANDH,MENKAMUNDA,7
Bargarh,PAIKMAL,JHARBANDH,PATRAPALI,3
Bargarh,PAIKMAL,JHARBANDH,TEMRIMAL,2
Bargarh,PAIKMAL,JHITIKI,PATHREL,10
Bargarh,PAIKMAL,KECHHODADAR,CHHELIAMAL,1
Bargarh,PAIKMAL,KECHHODADAR,JARIMUNDA,1
Bargarh,PAIKMAL,KECHHODADAR,MAHARANIMERIPUR,1
Bargarh,PAIKMAL,KERMELABAHAL,GANDAPALI,1
Bargarh,PAIKMAL,KERMELABAHAL,GONDPALI,5
Bargarh,PAIKMAL,KERMELABAHAL,HARIDATAL,4
Bargarh,PAIKMAL,KERMELABAHAL,KERMELABAHAL,2
Bargarh,PAIKMAL,KERMELABAHAL,KHANDASI BANJI,4
Bargarh,PAIKMAL,MANDIADHIPA,MANDIADHIPA,11
Bargarh,PAIKMAL,MANDOSIL,MANDOSIL,4
Bargarh,PAIKMAL,MITHAPALI,DUNGURIPALI,2
Bargarh,PAIKMAL,MITHAPALI,GORANDA,1
Bargarh,PAIKMAL,MITHAPALI,MITHAPALI,23
Bargarh,PAIKMAL,PAIKMAL,PAIKMAL,1
Bargarh,PAIKMAL,PALSADA,KUAPALI,2
Bargarh,PAIKMAL,SANKRI,JOGENDRANATHPUR,4
Bargarh,RAJBORASAMAR,BARIHAPALI,BANJHAPALI,1
Bargarh,RAJBORASAMAR,BARIHAPALI,GANJAGUDA,1
Bargarh,RAJBORASAMAR,BARIHAPALI,KHUJIANI,1
Bargarh,RAJBORASAMAR,BARIHAPALI,PATRAPALI,2
Bargarh,RAJBORASAMAR,BHEUNRIA,BHEUNRIA,35
Bargarh,RAJBORASAMAR,BHEUNRIA,PHIRUPALI,1
Bargarh,RAJBORASAMAR,BUDAMAL,BHELUANPADAR,1
Bargarh,RAJBORASAMAR,BUDAMAL,KHAIRPALI,1
Bargarh,RAJBORASAMAR,CHARPALI,BHALUKANA,3
Bargarh,RAJBORASAMAR,CHARPALI,HALKADADAR,3
Bargarh,RAJBORASAMAR,DAHIGAON,BARBHATA,1
Bargarh,RAJBORASAMAR,DAHIGAON,BUBUDA,2
Bargarh,RAJBORASAMAR,DAHITA,BAKIKHAMAN,2
Bargarh,RAJBORASAMAR,DAHITA,BHALUDUNGURI,2
Bargarh,RAJBORASAMAR,DAHITA,SARGIPALI,1
Bargarh,RAJBORASAMAR,JAMARTALA,ANTARLA,1
Bargarh,RAJBORASAMAR,JAMARTALA,BIRHIPALI,2
Bargarh,RAJBORASAMAR,KANSAR,BANDUPALI,3
Bargarh,RAJBORASAMAR,KANSINGHA,CHANDIPALI,1
Bargarh,RAJBORASAMAR,KANSINGHA,KANSINGHA,8
Bargarh,RAJBORASAMAR,KHALIAPALI,BADIMAL,3
Bargarh,RAJBORASAMAR,KHALIAPALI,BAJENMMUNDA,1
Bargarh,RAJBORASAMAR,KHALIAPALI,MUNDOMAHUL,1
Bargarh,RAJBORASAMAR,LOHARPALI,BARBHATA,2
Bargarh,RAJBORASAMAR,LOHARPALI,BUBUDA,1
Bargarh,RAJBORASAMAR,LOHARPALI,KADALIMUNDA,1
Bargarh,RAJBORASAMAR,MAHULPALI,AMLILPALI,1
Bargarh,RAJBORASAMAR,MAHULPALI,MAHULPALI,12
Bargarh,RAJBORASAMAR,PURENA,MURHAPALI,2
Bargarh,SOHELA,BAUSENMURA,HIRAPALI,5
Bargarh,SOHELA,BAUSENMURA,KHALIAPALI,1
Bargarh,SOHELA,BIRJAM,BIRJAM,2
Bargarh,SOHELA,CHHURIAPALI,DUMERPALI,1
Bargarh,SOHELA,CHHURIAPALI,SARADHAPALI,4
Bargarh,SOHELA,GHESS,GHESS,3
Bargarh,SOHELA,GHESS,TILEIMAL,2
Bargarh,SOHELA,GHESS,TURIMUNDA,1
Bargarh,SOHELA,J SRIGIDA,BAIPALI,1
Bargarh,SOHELA,J SRIGIDA,BISIPALI,8
Bargarh,SOHELA,J SRIGIDA,JATALA,2
Bargarh,SOHELA,JHAR,BARPADAR,1
Bargarh,SOHELA,KANAPALI,BAHALBAHAL,2
Bargarh,SOHELA,KANAPALI,KANAPALI,1
Bargarh,SOHELA,KUCHIPALI,KATAPALI,2
Bargarh,SOHELA,KUCHIPALI,KUCHIPALI,4
Bargarh,SOHELA,PANDAKI PALI,PASTAMUNDA,3
Bargarh,SOHELA,PETUPALI,PETUPALI,1
Bargarh,SOHELA,PHALASAPALI,GHANAMAL,2
Bargarh,SOHELA,PHALSAPALI,GHANAMAL,4
Bargarh,SOHELA,RENGALI,BIRHIPALI,2
Bargarh,SOHELA,RENGALI,BRAHMANIDIHI,1
Bargarh,SOHELA,RENGALI,DHAURAKHANDA,4
Bargarh,SOHELA,RENGALI,MACHIMURA,1
Bargarh,SOHELA,SALHEPALI,BARPADAR,6
Bargarh,SOHELA,SALHEPALI,JAMPALI,2
Bargarh,SOHELA,SANIMAL,BATTERMA,1
Bargarh,SOHELA,SANIMAL,DANGARKEMELI,3
Bargarh,SOHELA,SANIMAL,SANIMAL,1
Bargarh,SOHELA,TABADA,TABADA,1
Bargarh,SOHELA,TUNGIBANDHILI,TANDOL,2
