District,Block,Gram Panchayat,Village,Beneficiary_Count
Bhadrakh,BHADRAK,AMBORALI,AMBORALI,11
Bhadrakh,BHADRAK,GELTUA,JALANGA,47
Bhadrakh,BHANDARIPOKHARI,DAKHINBAD,UTTARABAD,7
Bhadrakh,BHANDARIPOKHARI,NAPANGA,SANABANKAMU,9
Bhadrakh,BHANDARIPOKHARI,NIRGUNDI,ANANTAPUR,13
Bhadrakh,BHANDARIPOKHARI,NIRGUNDI,MAHURA,25
Bhadrakh,BHANDARIPOKHARI,PATULI,MOBARAKPUR,49
Bhadrakh,BHANDARIPOKHARI,SANSASAN,BAHADULNAGAR,2
Bhadrakh,BHANDARIPOKHARI,SARSADA,KUBERGADIA,10
Bhadrakh,BHANDARIPOKHARI,SARSADA,UTTARAGADIA,2
