District,Block,Gram Panchayat,Village,Beneficiary_Count
Bolangir,AGALPUR,BADTIKA,BADATIKA,10
Bolangir,AGALPUR,BADTIKA,LARAMBHAMUNDA,24
Bolangir,AGALPUR,BENDRA,RAMPUR,9
Bolangir,AGALPUR,BIRAMUNDA,BADATARAKAMUNA,1
Bolangir,AGALPUR,JHANKARPALI,ADENDUNGURI,1
Bolangir,BALANGIR,BAIDIPALI,BARGAON,23
Bolangir,BALANGIR,BAIDIPALI,GHUSURADUNGURI,7
Bolangir,BALANGIR,BAIDIPALI,KALIJHARAN,33
Bolangir,BALANGIR,BAIDIPALI,PRATAPRUDRAPUR,2
Bolangir,BALANGIR,BARAPUDGIA,KERMELI,1
Bolangir,BALANGIR,BHUNDIMUHAN,KARLAPITA,4
Bolangir,BALANGIR,BHUNDIMUHAN,SARGADPALI,3
Bolangir,BALANGIR,BIDIGHAT,BIDIGHAT,26
Bolangir,BALANGIR,BIDIGHAT,CHANTIMUNDA,33
Bolangir,BALANGIR,BIDIGHAT,JANAKPUR,8
Bolangir,BALANGIR,BIDIGHAT,KALIJHARAN,13
Bolangir,BALANGIR,CHIKALBAHAL,DHAUNRADADAR,6
Bolangir,BALANGIR,CHIKALBAHAL,PHATKARA,1
Bolangir,BALANGIR,JHANKARPALI,HARIPALI,2
Bolangir,BALANGIR,JHANKARPALI,SIALBAHALI,1
Bolangir,BALANGIR,SADAIPALI,PHULJHARAN,30
Bolangir,BALANGIR,SIKACHHIDA,BIJILIMUNDA,14
Bolangir,BALANGIR,SIKACHHIDA,KANAKPUR,15
Bolangir,BALANGIR,SIKACHHIDA,KHASBAHAL,13
Bolangir,BALANGIR,SIKACHHIDA,SIKACHHIDA,9
Bolangir,BALANGIR,SIKACHHIDA,SINKHAMAN,2
Bolangir,BANGOMUNDA,JAMKHUNTA,JAMPADA,8
Bolangir,BANGOMUNDA,THEMRA,BARKANI,57
Bolangir,BELPADA,BAGDOR,DHAUNRAKHAMAN,31
Bolangir,BELPADA,BEHERAMUNDA,BEHERAMUNDA,7
Bolangir,BELPADA,GHAGURLI,CHIKILI,1
Bolangir,BELPADA,GHAGURLI,GHAGARA,44
Bolangir,BELPADA,GHAGURLI,JAMJURI,5
Bolangir,BELPADA,GHAGURLI,PANDAKIMAL,8
Bolangir,BELPADA,KANDHENJHULA,BAHABAL,22
Bolangir,BELPADA,KANDHENJHULA,BANJIJHAL,12
Bolangir,BELPADA,KAPANI,BHARUAMUNDA,5
Bolangir,BELPADA,KAPANI,BUDAMUNDA,127
Bolangir,BELPADA,SARMUHAN,AANLABHATA,4
Bolangir,BELPADA,SARMUHAN,AINLABHATA,2
Bolangir,BELPADA,SARMUHAN,BHALUKHAI,3
Bolangir,BELPADA,TENTULIMUNDA,BARJURA,1
Bolangir,BELPADA,TENTULIMUNDA,LAHERJURI,1
Bolangir,BELPADA,TENTULIMUNDA,PANDESARA,1
Bolangir,BELPADA,TENTULIMUNDA,SATCHUAN,1
Bolangir,DEOGAON,BADBAHAL,BUDHABAHAL,4
Bolangir,DEOGAON,BANDHPADA,GHATULDUNGURI,13
Bolangir,DEOGAON,DESAND,BHALUKUND,13
Bolangir,DEOGAON,DESAND,DESAND,5
Bolangir,DEOGAON,DHANDAMAL,ANTARLA,1
Bolangir,DEOGAON,DHANDAMAL,BILASHPUR,14
Bolangir,DEOGAON,GAIBAHAL,RAIPALI,4
Bolangir,DEOGAON,KUTHURLA,MURSINGHA,14
Bolangir,DEOGAON,LANDAPATHAR,LANDAPATHAR,18
Bolangir,DEOGAON,MAHALEI,GADADUARA,5
Bolangir,DEOGAON,MAHALEI,PANDHEL,2
Bolangir,DEOGAON,RAMACHANDRAPUR,GOELPITA,28
Bolangir,DEOGAON,RAMACHANDRAPUR.,LUHAKHAN,3
Bolangir,DEOGAON,RAMACHANDRAPUR.,MATUPALI,16
Bolangir,DEOGAON,RAMACHANDRAPUR.,PARUABHADI,4
Bolangir,DEOGAON,RAMACHANDRAPUR.,TANGURUPADAR,6
Bolangir,DEOGAON,SINGHAMUNDA,AMBAGHAT,13
Bolangir,DEOGAON,SINGHAMUNDA,BANKIAMUNDA,23
Bolangir,DEOGAON,SINGHAMUNDA,KHALIAPALI,10
Bolangir,DEOGAON,SINGHAMUNDA,LAXMANPUR,1
Bolangir,DEOGAON,UDAR,LUHURENPALI,20
Bolangir,DEOGAON,UDAR,PADAMPUR,34
Bolangir,GUDVELLA,BIRAMUNDA,BADATARAKAMUNA,4
Bolangir,GUDVELLA,BIRAMUNDA,SANTARAKMUNDA,20
Bolangir,GUDVELLA,GHUNA,GHUNA,7
Bolangir,GUDVELLA,GHUNA,GUDUNGAMAL,13
Bolangir,GUDVELLA,GHUNA,NIMURSINGHA,17
Bolangir,GUDVELLA,JAMUT,BELGAON,20
Bolangir,GUDVELLA,JAMUT,RAHENMAL,10
Bolangir,KHAPRAKHOL,BAGHMUND,CHANGRIA,19
Bolangir,KHAPRAKHOL,BAGHMUND,HIRLI,9
Bolangir,KHAPRAKHOL,BAGHMUND,KUDOPANI,10
Bolangir,KHAPRAKHOL,BAGHMUND,LUHAKHAN,34
Bolangir,KHAPRAKHOL,BAGHMUND,NAGENMAL,4
Bolangir,KHAPRAKHOL,KARUAJHAR,MASHINA,7
Bolangir,KHAPRAKHOL,LATHOR,LATHOR,7
Bolangir,KHAPRAKHOL,MANDUPALA,GARTIA,3
Bolangir,KHAPRAKHOL,MANDUPALA,KARUANJHAR,1
Bolangir,KHAPRAKHOL,MANDUPALA,NANDUPALA,12
Bolangir,KHAPRAKHOL,MANDUPALA,SARGIMUNDA,50
Bolangir,KHAPRAKHOL,MATIABHATA,ANKAMARA,20
Bolangir,KHAPRAKHOL,MATIABHATA,BHARUAMUNDA,2
Bolangir,KHAPRAKHOL,MATIABHATA,KENDUBHATA,3
Bolangir,KHAPRAKHOL,MATIABHATA,PUTULAMAHUL,2
Bolangir,KHAPRAKHOL,RENGALI,BARTIA,3
Bolangir,KHAPRAKHOL,TANKAPANI,BUDHACHHAPAR,17
Bolangir,KHAPRAKHOL,TANKAPANI,CHORMUNDA,67
Bolangir,KHAPRAKHOL,TANKAPANI,SAREIBAHAL,80
Bolangir,KHAPRAKHOL,TANKAPANI,TANKAPANI,52
Bolangir,KHAPRAKHOL,TELENPALI,BALIABAHAL,6
Bolangir,LOISINGHA,BADIBAHAL,BHALUPALI,2
