District,Block,Gram Panchayat,Village,Beneficiary_Count
Boudh,BLOCK,GRAM PANCHAYAT,VILLAGE,40
Boudh,BOUDH,BAGHIAPADA,DURAGAPARSAD,7
Boudh,BOUDH,BAGHIAPADA,PALSADADAR,18
Boudh,BOUDH,BRAHMANIPALI,BARAKODA,33
Boudh,BOUDH,GUNDULIA,ANKUN,7
Boudh,BOUDH,GUNDULIA,TILPANGA,14
Boudh,BOUDH,SAGADA,BARAKUTHULI,3
Boudh,BOUDH,SAGADA,CHHLANDA,1
Boudh,BOUDH,SAGADA,KHANDIKAPAN,1
Boudh,BOUDH,SAGADA,KUIRABHUI,13
Boudh,BOUDH,SAGADA,LAHOARPADA,11
Boudh,BOUDH,SAGADA,MALATIGOCHHAPADA,7
Boudh,BOUDH,SAGADA,MENAKA SAHI,1
Boudh,BOUDH,SAGADA,MENAKASAHI,8
Boudh,BOUDH,SAGADA,PAUKA,9
Boudh,BOUDH,SAGADA,SIGADI,17
Boudh,BOUDH,TIKARAPADA,GUDHIALI,6
Boudh,BOUDH,TIKARPADA,BADAGOCHHAPADA,30
Boudh,BOUDH,TIKARPADA,GUDHIALI,22
Boudh,BOUDH,TIKARPADA,JAMUNAKHOL,21
Boudh,BOUDH,TIKARPADA,KADAMUNDA,17
Boudh,BOUDH,TIKARPADA,KUTHULIMUNDA,16
Boudh,BOUDH,TIKARPADA,LAKEDPAJU,21
Boudh,BOUDH,TIKARPADA,MENIAPAJU,22
Boudh,BOUDH,TIKARPADA,TUTUMSINGH,17
Boudh,HARABHANGA,ADENIGADA,MADHAPUR,35
Boudh,HARABHANGA,ADENIGARH,MADHAPUR COLONY SAHI,2
Boudh,HARABHANGA,ADNIGARH,MADHAPUR,5
Boudh,HARABHANGA,BANIBHUSHANAPUR,BAHALI,1
Boudh,HARABHANGA,CHHATRANG,DIMIRIKHOL,4
Boudh,HARABHANGA,CHHATRANG,TRILOCHANAPUR,4
Boudh,HARABHANGA,SANKULEI,CHHELIKHAI,4
Boudh,HARABHANGA,TALAGAON,JAMUJHARI,4
Boudh,HARABHANGA,TALAGOAN,DAMAKUCH,9
Boudh,KANTAMAL,AMBAGAN,DEDHENMAL,58
Boudh,KANTAMAL,AMBAGAON,DEDHENMAL,6
Boudh,KANTAMAL,AMBAGAON,KACHERMAL,1
Boudh,KANTAMAL,BARAGAN,BARIGOBA,5
Boudh,KANTAMAL,BARAGAN,DUMURIPALI,11
Boudh,KANTAMAL,BARAGAN,GADAGADIA,1
Boudh,KANTAMAL,BARAGAN,KANDHAPALI,9
Boudh,KANTAMAL,BARAGAN,LABARKANI,1
Boudh,KANTAMAL,BARAGAN,MATAKUPA,6
Boudh,KANTAMAL,BARAGAN,UTURLA,5
Boudh,KANTAMAL,BARAGAON,GADAGADIA,1
Boudh,KANTAMAL,BARAGAON,GORUIBENGESH,3
Boudh,KANTAMAL,BARAGAON,GOURIBENGESH,10
Boudh,KANTAMAL,BARAGAON,GUURABANGAS,2
Boudh,KANTAMAL,BARAGAON,GUURABENGAS,1
Boudh,KANTAMAL,BARAGAON,KANISEMEL,8
Boudh,KANTAMAL,BARAGAON,KHALIAPALI,8
Boudh,KANTAMAL,BARAGAON,KUMELBANDH,3
Boudh,KANTAMAL,BARAGAON,MAHIBILA,12
Boudh,KANTAMAL,BARAGAON,MALIKUD,2
Boudh,KANTAMAL,BARAGAON,MALLIKUD,15
Boudh,KANTAMAL,BARAGAON,NENDRIMAL,2
Boudh,KANTAMAL,BARAGAON,UTRULA,4
Boudh,KANTAMAL,BARAGOAN,ALIKUD,7
Boudh,KANTAMAL,BARAGOAN,ALIKUDA,8
Boudh,KANTAMAL,BARAGOAN,ANUGUBA,3
Boudh,KANTAMAL,BARAGOAN,BANJIMUNDA,2
Boudh,KANTAMAL,BARAGOAN,BARAGOAN,6
Boudh,KANTAMAL,BARAGOAN,BARIGOBA,23
Boudh,KANTAMAL,BARAGOAN,BIRSINGHPUR,1
Boudh,KANTAMAL,BARAGOAN,BUDHA KHOL,4
Boudh,KANTAMAL,BARAGOAN,DUMALPAKHAL,4
Boudh,KANTAMAL,BARAGOAN,GADAGADIA,4
Boudh,KANTAMAL,BARAGOAN,GOCHHANGI,8
Boudh,KANTAMAL,BARAGOAN,GOURIBENGS,5
Boudh,KANTAMAL,BARAGOAN,KANISIMILI,10
Boudh,KANTAMAL,BARAGOAN,KEKENJOR,19
Boudh,KANTAMAL,BARAGOAN,KHLIAPALI,15
Boudh,KANTAMAL,BARAGOAN,KUMEL BANDH,14
Boudh,KANTAMAL,BARAGOAN,KUMELBANDH,1
Boudh,KANTAMAL,BARAGOAN,LABARKANI,13
Boudh,KANTAMAL,BARAGOAN,LOISINGHA,7
Boudh,KANTAMAL,BARAGOAN,MAHIBILA,14
Boudh,KANTAMAL,BARAGOAN,MALIKUD,7
Boudh,KANTAMAL,BARAGOAN,MALIKUDA,2
Boudh,KANTAMAL,BARAGOAN,NENDRIMAL,3
Boudh,KANTAMAL,BARAGOAN,PADHEL,3
Boudh,KANTAMAL,BARAGOAN,PARBATIPUR,14
Boudh,KANTAMAL,BARAGOAN,PUTAKETA,60
Boudh,KANTAMAL,BARAGOAN,SAURIBANGES,20
Boudh,KANTAMAL,BARAGOAN,SIMILIJORA,2
Boudh,KANTAMAL,BARAGOAN,SURKAPANGA,2
Boudh,KANTAMAL,BARAGOAN,UTURLA,10
Boudh,KANTAMAL,BARAGOCHHA,GAMBHARIPADAR,2
Boudh,KANTAMAL,BARAGOCHHA,GHORELEMUNDA,2
Boudh,KANTAMAL,DAPALA,TOKEIPALI,3
Boudh,KANTAMAL,GHANTAPADA,BADABAHAL,4
Boudh,KANTAMAL,GHANTAPADA,BAGHIA,5
Boudh,KANTAMAL,GHANTAPADA,GHANTAPADA,12
Boudh,KANTAMAL,GHANTAPADA,LANDAPADAR,4
Boudh,KANTAMAL,GHANTAPADA,NARAYANPALI,18
Boudh,KANTAMAL,GHANTAPADA,REKDOL,3
Boudh,KANTAMAL,GHANTAPADA,SANATANDAMUNDA,1
Boudh,KANTAMAL,GHANTAPADA,TALABEDA,1
Boudh,KANTAMAL,GHANTAPADA,TAMBASENA,2
Boudh,KANTAMAL,KHAMANAMUNDA,GUNDUCHITARA,36
Boudh,KANTAMAL,KHAMANMUNDA,DEOGAON,15
