District,Block,Gram Panchayat,Village,Beneficiary_Count
Cuttackk,ATHAGARH,DHAIPUR,LAXMINARAYANAPUR,21
Cuttackk,ATHAGARH,GHANTIKHAL,-CDHOA-NDRABALISHYAMPU,1
Cuttackk,ATHAGARH,GHANTIKHAL,R,8
Cuttackk,ATHAGARH,GHANTIKHAL,RAMASHYAMPUR,6
Cuttackk,ATHAGARH,GOBARA,"BHAGUA,",45
Cuttackk,ATHAGARH,GOBARA,RAJABALAVAPUR,1
Cuttackk,ATHAGARH,GOBARA,"RAJABALLAVEPUR,",1
Cuttackk,ATHAGARH,GOBARA,RAJABALLAVPUR,11
Cuttackk,ATHAGARH,GRAM PANCHAYAT,ORADA,37
Cuttackk,ATHAGARH,GRAM PANCHAYAT,SARASWATIPUR,23
Cuttackk,ATHAGARH,GURUDIJHATIA,BAGHABINDHA,13
Cuttackk,ATHAGARH,GURUDIJHATIA,DABAGADIA,9
Cuttackk,ATHAGARH,GURUDIJHATIA,KANDAMUGURI,1
Cuttackk,ATHAGARH,GURUDIJHATIA,KOLATHAPANGI(DERA),18
Cuttackk,ATHAGARH,GURUDIJHATIA,SAURIA,9
Cuttackk,ATHAGARH,KANDAREI,(RADHAKRUSHNAPUR)PA DAPATHARA,5
Cuttackk,ATHAGARH,KANDAREI,KAIMATI,13
Cuttackk,ATHAGARH,KANDAREI,MUSULIA,24
Cuttackk,ATHAGARH,KANDAREI,PADAPATHARA,13
Cuttackk,ATHAGARH,KANDAREI,RADHAKRUSHNAPUR(M USULIA),24
Cuttackk,ATHAGARH,KANDAREI,RADHAKRUSHNAPUR(PA DAPATHARA),19
Cuttackk,ATHAGARH,KANDAREI,SADAK SAHI,24
Cuttackk,ATHAGARH,KHUNTUNI,NRUSINGHAPUR,36
Cuttackk,ATHAGARH,MAHAKALABASTA,MADHABAPUR,12
Cuttackk,BADAMBA,"ARANDA,",BADAKAMBILO,46
Cuttackk,BADAMBA,BADAKAMBILO,KADAMAPAL,9
Cuttackk,BADAMBA,BADAKAMBILO,KUSAPAL,13
Cuttackk,BADAMBA,"BADAKAMBILO,","DANDAKHUMBA,",6
Cuttackk,BADAMBA,BUDHAPANK,KUANRPALA,28
Cuttackk,BADAMBA,CHHANCHUNIA,BADAKAMBILO,45
Cuttackk,BADAMBA,DASARATHIPUR,KHARODA,32
Cuttackk,BADAMBA,MANDIAPALI,MANDIAPALI,9
Cuttackk,BADAMBA,TINIGHARIA,TINIGHARIA,22
Cuttackk,BANKI,BANIA,KARADAPALI,5
Cuttackk,BANKI,PUICHA,GAHIRAGADIA,4
Cuttackk,BANKI-DOMPADA,NANDAPUR,TALABASTA,39
Cuttackk,NARSINGHPUR,BADABHUIN,BADABHUIN,20
Cuttackk,NARSINGHPUR,BADABHUIN,NANDAGOLA,2
Cuttackk,NARSINGHPUR,BARASINGA,BARASINGA,12
Cuttackk,NARSINGHPUR,BHAGATPUR,BHAGATPUR,23
Cuttackk,NARSINGHPUR,BORUSA,BORUSA,10
Cuttackk,NARSINGHPUR,DEBABHIN,BAHADA,9
Cuttackk,NARSINGHPUR,DEBABHIN,KANDHABADABHIN,15
Cuttackk,NARSINGHPUR,DEBABHIN,KHARUANI,15
Cuttackk,NARSINGHPUR,DEBABHUIN,BENIPATHARA,17
