District,Block,Gram Panchayat,Village,Beneficiary_Count
Deogarh,BARKOTE,BALLAM,BALLAM,52
Deogarh,BARKOTE,BALLAM,CHHURIABAHAL,32
Deogarh,BARKOTE,BALLAM,GAUDNALI,17
Deogarh,BARKOTE,BALLAM,NUAGAON,48
Deogarh,BARKOTE,BAMPARADA,BIDEIBADKUDAR,13
Deogarh,BARKOTE,BAMPARADA,BUDHAKHAMAN,3
Deogarh,BARKOTE,BAMPARADA,MAHULDIHI,17
Deogarh,BARKOTE,BAMPARADA,NETRABAHAL,20
Deogarh,BARKOTE,BAMPARADA,PATRAPALI,21
Deogarh,BARKOTE,BASALOI,GARIAPOSI,37
Deogarh,BARKOTE,BASALOI,KALKATH,20
Deogarh,BARKOTE,BASALOI,KUNDAPITHA,26
Deogarh,BARKOTE,BIJAYNAGAR,AANLAPOSI,1
Deogarh,BARKOTE,BIJAYNAGAR,CHANDANKHUNTI,12
Deogarh,BARKOTE,BIJAYNAGAR,GHURUDUKHAMAN,17
Deogarh,BARKOTE,BIJAYNAGAR,GOPALPALI,38
Deogarh,BARKOTE,BIJAYNAGAR,KAUNSIBAHAL,9
Deogarh,BARKOTE,BRAHMANIDEI,BRAHMANIDEI,2
Deogarh,BARKOTE,DANDASINGHA,DANDASINGHA,12
Deogarh,BARKOTE,DANDASINGHA,RENGALBAHAL,11
Deogarh,BARKOTE,DANRA,CHAKADIHI,17
Deogarh,BARKOTE,DANRA,JHUMPARA,8
Deogarh,BARKOTE,DANTARIBAHAL,BADBAHAL,44
Deogarh,BARKOTE,DANTARIBAHAL,BRUNDABANPUR,37
Deogarh,BARKOTE,DANTARIBAHAL,CHAITANPALI,21
Deogarh,BARKOTE,DANTARIBAHAL,NAGADIHI,21
Deogarh,BARKOTE,DANTARIBAHAL,UTUNIAMUNDA,44
Deogarh,BARKOTE,GOLABANDHA,DEHURIMUNDA,10
Deogarh,BARKOTE,GOLABANDHA,GOLABANDHA,15
Deogarh,BARKOTE,GURUSANG,BAIDHARNAGAR,55
Deogarh,BARKOTE,GURUSANG,DEPATALA,25
Deogarh,BARKOTE,GURUSANG,GURUSANG,80
Deogarh,BARKOTE,GURUSANG,RATAB,45
Deogarh,BARKOTE,JHARAKANDHAL,GURUJANG,6
Deogarh,BARKOTE,JHARAKANDHAL,JHARAKANDHAL,7
Deogarh,BARKOTE,JHARAKANDHAL,KHULUNDIKUDAR,9
Deogarh,BARKOTE,JHARAKANDHAL,PURUNAPANI,4
Deogarh,BARKOTE,KADOPADA,BRAHMANIDEI,11
Deogarh,BARKOTE,KADOPADA,MASINITA,20
Deogarh,BARKOTE,KALIAPAL,BHITARBEDA,9
Deogarh,BARKOTE,KALIAPAL,BUDHABHUIN,16
Deogarh,BARKOTE,KALIAPAL,JALISUAN,17
Deogarh,BARKOTE,KALIAPAL,KALIAPAL,21
Deogarh,BARKOTE,KALIAPAL,PACHERIPANI,71
Deogarh,BARKOTE,KALIAPAL,TALABAHALI,46
Deogarh,BARKOTE,KANDHAL,BAGHAMUNDA,44
Deogarh,BARKOTE,KANDHAL,BUDHIBAHAL,21
Deogarh,BARKOTE,KANDHAL,KANDHAL,4
Deogarh,BARKOTE,KANTAPALI,BHIMAGANJA,16
Deogarh,BARKOTE,KANTAPALI,DIMIRIPASI,35
Deogarh,BARKOTE,KANTAPALI,GOBINDPALI,3
Deogarh,BARKOTE,KANTAPALI,KANTAPALI,9
Deogarh,BARKOTE,KANTAPALI,TALAKHALI,12
Deogarh,BARKOTE,KAUNSIBAHAL,JARICHAKUNDAPAL,26
Deogarh,BARKOTE,KAUNSIBAHAL,NALABANDHA,16
