District,Block,Gram Panchayat,Village,Beneficiary_Count
Dhenkanal,BHUBAN,BHUSAL,KANCHANBAHALI,71
Dhenkanal,BHUBAN,DAYANABILI,CHHATIASAHI (KANHEIPAL),24
Dhenkanal,BHUBAN,DHALPADA,JORAGADIA,16
Dhenkanal,BHUBAN,DHALPADA,SENANDA,53
Dhenkanal,BHUBAN,ODISHA,ODISHA,41
Dhenkanal,BLOCK,GRAM PANCHAYAT,VILLAGE,130
Dhenkanal,DHENKANAL SADAR,CHAULIA,CHAULIA,75
Dhenkanal,DHENKANAL SADAR,MANIPUR,MANIPUR,58
Dhenkanal,DHENKANAL SADAR,SAPTASAJYA,KAMANING,32
Dhenkanal,DHENKANAL SADAR,SAPTASAJYA,SAPTASAJYA,119
Dhenkanal,DHENKANAL SADAR,SAPTASAJYA,SAPTASAJYA (BANASAHI),54
Dhenkanal,GONDIA,BEGA,BADAPOKHARIA,23
Dhenkanal,GONDIA,BEGA,BEGA,22
Dhenkanal,GONDIA,BEGA,GOTHATAILA,50
Dhenkanal,GONDIA,BEGA,KASHARADA,1
Dhenkanal,GONDIA,BEGA,NEHENGRA,112
Dhenkanal,GONDIA,BEGA,SRIMANTAPUR,17
Dhenkanal,GONDIA,KHANKIRA,GHORAGHARI,34
Dhenkanal,GONDIA,KHANKIRA,PHULJHAR,67
Dhenkanal,GONDIA,KHANKIRA,PIMPUDIA,73
Dhenkanal,GONDIA,MATHATENTULIA,NILAKANTHAPUR,45
Dhenkanal,GONDIA,MATHATENTULIA,NILAKANTHAPUR (JAMBU),164
Dhenkanal,GONDIA,PINGUA,BALIKIARI,80
Dhenkanal,GONDIA,SORISIAPADA,"CHATIGHAR, SORISAPADA",68
Dhenkanal,HINDOL,BAMPA,BRAHMANIPAL,4
Dhenkanal,HINDOL,BAUNSAPOKHARI,NUAKOT,31
Dhenkanal,HINDOL,DANDIRI,KANAKA,28
Dhenkanal,HINDOL,DANDIRI,KANAKA (MURUDA),8
Dhenkanal,HINDOL,DANDIRI,RAJANG,7
Dhenkanal,HINDOL,KANSARA,KANSARA,6
Dhenkanal,HINDOL,KHALIBOREI,GOBINDPUR,8
Dhenkanal,HINDOL,KHALIBOREI,GOVINDPUR,4
Dhenkanal,HINDOL,KHALIBOREI,KHALIBOREI,40
Dhenkanal,HINDOL,MADHAPUR,KUKUPANGI,1
Dhenkanal,HINDOL,NABAKISHOREPUR,KALIPOI,4
Dhenkanal,HINDOL,NABAKISHOREPUR,KAPISHAI,4
Dhenkanal,HINDOL,NIJIGARH,KANDHA,1
Dhenkanal,KAMAKHYANAGAR,BADASUANLO,LOKANATHAPUR,39
Dhenkanal,KAMAKHYANAGAR,BANKUALA,DANPASI,76
Dhenkanal,KAMAKHYANAGAR,BARUAN,BARUAN,22
Dhenkanal,KAMAKHYANAGAR,BARUAN,JHAJIRIBERENA,48
Dhenkanal,KAMAKHYANAGAR,BAUNSAPAL,BAUNSAPAL,50
Dhenkanal,KAMAKHYANAGAR,BHAERAPUR,BHAERAPUR,16
Dhenkanal,KAMAKHYANAGAR,BHAIRPUR,BHAIRPUR (DEULASAHI),29
Dhenkanal,KAMAKHYANAGAR,BHAIRPUR,KAINAGOTHA,16
Dhenkanal,KAMAKHYANAGAR,JIRIDAMALI,JIRIDAMALI,2
Dhenkanal,KAMAKHYANAGAR,KADUA,SAMATANGI,9
Dhenkanal,KAMAKHYANAGAR,KANPURA,BHALUMUNDA,24
Dhenkanal,KAMAKHYANAGAR,KANPURA,GUNDICHANALI,45
Dhenkanal,KAMAKHYANAGAR,KUSUMJODI,ALUAJHARANA,3
Dhenkanal,KAMAKHYANAGAR,MAHULPAL,BIJADIHI,50
Dhenkanal,KAMAKHYANAGAR,MAHULPAL,MARKATA,51
Dhenkanal,KAMAKHYANAGAR,MATHAKARGOLA,TANGARPADA,66
