District,Block,Gram Panchayat,Village,Beneficiary_Count
Ganjam,BEGUNIAPADA,CHANDANPUR,RAIPADA,37
Ganjam,BEGUNIAPADA,CHANDANPUR,SORADAPALLI,90
Ganjam,BEGUNIAPADA,KALIMEGHI,B.NUASAHI,15
Ganjam,BEGUNIAPADA,KALIMEGHI,BAIDIPADA,44
Ganjam,BEGUNIAPADA,KALIMEGHI,BANKIMAL,11
Ganjam,BEGUNIAPADA,KALIMEGHI,CHUNCHIPADA,1
Ganjam,BEGUNIAPADA,KALIMEGHI,JOKALUNDI,20
Ganjam,BEGUNIAPADA,KALIMEGHI,TELIMALA,15
Ganjam,BEGUNIAPADA,MARDMEKHA,BINCHA,8
Ganjam,BEGUNIAPADA,MARDMEKHA,D.NUASAHIA,4
Ganjam,BEGUNIAPADA,MARDMEKHA,DHABHABANIA,92
Ganjam,BEGUNIAPADA,MARDMEKHA,JANIBILI,41
Ganjam,BELAGUNTHA,BADABORASINGI,BANKALEDI,18
Ganjam,BELAGUNTHA,BADAPADA,KANTEIPALLI,8
Ganjam,BHANJANAGAR,BAIBALI,(BAJRAKOTE),5
Ganjam,BHANJANAGAR,BAIBALI,BAIBALI,1
Ganjam,BHANJANAGAR,BAIBALI,BAIBALI(BARAGAON),4
Ganjam,BHANJANAGAR,BAIBALI,KIRIDIKUPA,2
Ganjam,BHANJANAGAR,BAIBALI,NARANGIPALLI,1
Ganjam,BHANJANAGAR,BAIBALI,TOTA SAHI,10
Ganjam,BHANJANAGAR,BRAHMANPADAR,(NUAPALLI),3
Ganjam,BHANJANAGAR,BRAHMANPADAR,GHANTARADIHA,3
Ganjam,BHANJANAGAR,BRAHMANPADAR,KHURUDAU)GOCHHA,1
Ganjam,BHANJANAGAR,BRAHMANPADAR,KHURUDUGOCHHA,18
Ganjam,BHANJANAGAR,BRAHMANPADAR,NARIGOCHHA,17
Ganjam,BHANJANAGAR,BRAHMANPADAR,RANIKIARI,1
Ganjam,BHANJANAGAR,BRAHMANPADAR,TABHAPALLI,11
Ganjam,BHANJANAGAR,DADARALUNDA,BHALUGUDA,17
Ganjam,BHANJANAGAR,DADARALUNDA,DADARALUNDA,5
Ganjam,BHANJANAGAR,DADARALUNDA,DURGAPRAASA)D(MITRIKI,17
Ganjam,BHANJANAGAR,DADARALUNDA,DURGAPRASAD(MITRIKI,1
Ganjam,BHANJANAGAR,DADARALUNDA,G. RAMBHA,15
Ganjam,BHANJANAGAR,GALLERY,BARAKUDA,22
Ganjam,BHANJANAGAR,GALLERY,HATADHEPA,2
Ganjam,BHANJANAGAR,GALLERY,JAMADANDA,1
Ganjam,BHANJANAGAR,GALLERY,KENDUPALLI,1
Ganjam,BHANJANAGAR,GALLERY,T. JIREIJHOLI,3
Ganjam,BHANJANAGAR,GALLERY,U. JIREIJHOLI,8
Ganjam,BHANJANAGAR,HARIGADA,CHADHEYAPALLI,25
Ganjam,BHANJANAGAR,LALSINGI,RAJAKUNDUPALLI,9
Ganjam,BHANJANAGAR,MUJAGADA,SIDHAPADAR,3
Ganjam,BHANJANAGAR,SAANKODANDA,DHAUMUNDIA,3
Ganjam,BHANJANAGAR,TILISINGI,SUNAPALLI(PUDRINGI),17
Ganjam,BHANJANAGAR,TURUMU,LUNABALI,7
Ganjam,BUGUDA,BHAGABANPUR,KANASARALA,34
Ganjam,BUGUDA,KARACHULI,MADHAPALLI,17
Ganjam,BUGUDA,KARACHULI,NUAPALLI,1
Ganjam,BUGUDA,KARASINGI,BEDHAKHALA,14
Ganjam,BUGUDA,KARASINGI,MASANISAHI,6
Ganjam,CHIKITI,K.NUAGAM,AMBAJHOLA,15
Ganjam,CHIKITI,K.NUAGAM,BALIPADAR,15
Ganjam,CHIKITI,K.NUAGAM,BATAPALLI,8
Ganjam,CHIKITI,K.NUAGAM,K.KHUDUDI,26
Ganjam,CHIKITI,K.NUAGAM,NUABANDHA,4
Ganjam,CHIKITI,K.NUAGAM,RAJAPALLI,8
Ganjam,CHIKITI,K.NUAGAM,SINDURAPUR,16
Ganjam,CHIKITI,R.CH PUR,NIMAKUDIA,12
Ganjam,CHIKITI,R.CH PUR,RAMGUDA,27
Ganjam,DHARAKOTE,BAHARPUR,KANTEIPALLI,12
Ganjam,DHARAKOTE,BAHARPUR,KHAJURIPADA,21
Ganjam,DHARAKOTE,BAHARPUR,MALLIJHARAPALLI,29
Ganjam,DHARAKOTE,BALARAMPUR,BATAKHALA (J.PUR),12
Ganjam,DHARAKOTE,BALARAMPUR,DHADIAMBA,30
Ganjam,DHARAKOTE,BALARAMPUR,GAMBHARI KHALLA,20
Ganjam,DHARAKOTE,BALARAMPUR,GUDRUGUMA/BALARAMPUR,12
Ganjam,DHARAKOTE,BALARAMPUR,HALADIBAGAD,29
Ganjam,DHARAKOTE,BALARAMPUR,JIRIYA NAGAR,13
Ganjam,DHARAKOTE,BALARAMPUR,K.BURUPADA,51
Ganjam,DHARAKOTE,BALARAMPUR,KALUAMBA,16
Ganjam,DHARAKOTE,BALARAMPUR,KALUMBA/BALARAMPUR,6
Ganjam,DHARAKOTE,BALARAMPUR,KATHAGADA/BALARAMPUR,23
Ganjam,DHARAKOTE,BALARAMPUR,NEW JALI,51
Ganjam,DHARAKOTE,BALARAMPUR,PHATA CHANCHADA,34
Ganjam,DHARAKOTE,BALARAMPUR,PHATACHANCHADA,1
Ganjam,DHARAKOTE,BALARAMPUR,PUNJIAMBA/BALARAMPUR,2
Ganjam,DHARAKOTE,BALARAMPUR,PURNA JALI,36
Ganjam,DHARAKOTE,BALARAMPUR,RANGAMATIA,27
Ganjam,DHARAKOTE,BALARAMPUR,SUNDARAGADA,17
Ganjam,DHARAKOTE,BALARAMPUR,TANARJIPAALNLI/DBHAALARAMPUR,1
Ganjam,DHARAKOTE,BALARAMPUR,TANARJIPALLI/BALARAMPUR,34
Ganjam,DHARAKOTE,JHADABANDHA,MADANAGAANNDDAHPAALLI/JHADAB,30
Ganjam,DHARAKOTE,JHADABANDHA,MADANAGANDAPALLI/JHADAB,1
Ganjam,DHARAKOTE,MACHHAKOTE,ABHAYAPUR/ MACHAKOTA,18
Ganjam,DHARAKOTE,MANIKYAPUR,MALLIJHARA (SIKULIAPADAR),27
Ganjam,DHARAKOTE,MANIKYAPUR,SIKULIAPALLI,53
Ganjam,DHARAKOTE,SABA,ANDHARI,17
Ganjam,DHARAKOTE,SABA,ARJUNPALLI,35
Ganjam,DHARAKOTE,SABA,ASHOKPALLI,13
Ganjam,DHARAKOTE,SABA,BADUA,10
Ganjam,DHARAKOTE,SABA,BARAPALLI,1
Ganjam,DHARAKOTE,SABA,BHAGAPADMAPUR,32
Ganjam,DHARAKOTE,SABA,BHALIAGUDA,14
Ganjam,DHARAKOTE,SABA,CHANAPATA,24
Ganjam,DHARAKOTE,SABA,G. MAHULAPADA,7
Ganjam,DHARAKOTE,SABA,GOCHAGADA/SABA,20
Ganjam,DHARAKOTE,SABA,JAISINGI,21
Ganjam,DHARAKOTE,SABA,JHILIMILLI,34
Ganjam,DHARAKOTE,SABA,KALABADA,21
Ganjam,DHARAKOTE,SABA,KENDUPADA,10
Ganjam,DHARAKOTE,SABA,KHARIPALLI,26
Ganjam,DHARAKOTE,SABA,KUMAR BANDHA,14
Ganjam,DHARAKOTE,SABA,KUSUMABASA,18
Ganjam,DHARAKOTE,SABA,KUTUNIDANDA,26
Ganjam,DHARAKOTE,SABA,MANGALPUR,15
Ganjam,DHARAKOTE,SABA,PATASALA,50
Ganjam,DHARAKOTE,SABA,PILLIPADAR,14
Ganjam,DHARAKOTE,SABA,SABA,4
Ganjam,DHARAKOTE,SABA,SAGAKIARI/SABA,4
Ganjam,DHARAKOTE,SABA,SIKULABASA,11
Ganjam,DIGAPAHANDI,BADADUMULA,BADADUMULA,9
Ganjam,DIGAPAHANDI,BADADUMULA,CHANABAGADA,10
Ganjam,DIGAPAHANDI,BADADUMULA,DHAMANPADAR,38
Ganjam,DIGAPAHANDI,BADADUMULA,MALAKOTAPALLI,20
Ganjam,DIGAPAHANDI,BASUDEVPUR,BADA BURUDA,7
Ganjam,DIGAPAHANDI,BASUDEVPUR,SANA BURUDA,16
Ganjam,DIGAPAHANDI,KHAMARIGAON,BURUBANDHA,12
Ganjam,DIGAPAHANDI,KHAMARIGAON,SIRIPUR,5
Ganjam,DIGAPAHANDI,S.TIKARAPADA,BALIPATA,31
Ganjam,JAGANNATH PRASAD,GAYAGANDA,ADIVASI COLONY,9
Ganjam,JAGANNATH PRASAD,GAYAGANDA,JIRIPADA,10
Ganjam,JAGANNATH PRASAD,GAYAGANDA,KHAJURIPALLI,23
Ganjam,JAGANNATH PRASAD,KHETAMUNDALI,GRAMDEVATI,14
Ganjam,JAGANNATH PRASAD,KHETAMUNDALI,KANDHABANTA,2
Ganjam,JAGANNATH PRASAD,KHETAMUNDALI,KHETAMUNDALI,12
Ganjam,JAGANNATH PRASAD,KHETAMUNDALI,TALATAILA,4
Ganjam,JAGANNATH PRASAD,KHETAMUNDALI,TIRIGOCHHA,7
Ganjam,JAGANNATH PRASAD,KOKOLABA,BANJARSAHI,19
Ganjam,JAGANNATH PRASAD,KOKOLABA,KHURUDUPALLI,11
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,BADABHUMI,1
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,DELINGPADAR,13
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,DHANAPAJU,6
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,GHOGADA,10
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,KADALIGADA,25
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,KAINFULIA,12
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,KANDHABANTA,2
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,KATHAPATANI,10
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,NARABARI,20
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,NARAGADU,28
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,NARAYANPRASAD,6
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,RUDHAPADAR,19
Ganjam,JAGANNATH PRASAD,RUDHAPADAR,SARANGAPATTA,13
Ganjam,JAGANNATH PRASAD,TARASINGI,RAMPO,23
Ganjam,JAGANNATH PRASAD,TARASINGI,TOLADI,22
Ganjam,KHALLIKOTE,BADAPALLI,BADAPALLI,10
Ganjam,KHALLIKOTE,BADAPALLI,"KURRUAMMICPHUARN, DDREABPIUJHRARI",1
Ganjam,KHALLIKOTE,BADAPALLI,KURUMIPUR,39
Ganjam,KHALLIKOTE,BADAPALLI,"KURUMIPUR,",3
Ganjam,KHALLIKOTE,BADAPALLI,"KURUMIPUR, , BARASAHI",1
Ganjam,KHALLIKOTE,BADAPALLI,"KURUMIPUR, BARASAHI",1
Ganjam,KHALLIKOTE,BADAPALLI,MAREINUAGAM,20
Ganjam,KHALLIKOTE,BADAPALLI,MOREINUAGAON,25
Ganjam,KHALLIKOTE,BADAPALLI,NUAPALLI,39
Ganjam,KHALLIKOTE,BADAPALLI,PATHURINUAGAON,1
Ganjam,KHALLIKOTE,BADAPALLI,"RAKMUCRHUAMNIDPRUARP, UR",1
Ganjam,KHALLIKOTE,BADAPALLI,"RAKMUCRUHMANIPDURAR,P UR",7
Ganjam,KHALLIKOTE,BADAPALLI,RAMKUCRHUAMNIDPRUARPUR,1
Ganjam,KUKUDAKHANDI,BANTHAPALLI,KANTIGUDA,19
Ganjam,KUKUDAKHANDI,BANTHAPALLI,LOCHAPADA,24
Ganjam,KUKUDAKHANDI,BANTHAPALLI,RAMAGUDA,7
Ganjam,KUKUDAKHANDI,DENGAPADAR,NUAPADA,1
Ganjam,KUKUDAKHANDI,KANKIA,BALIAPUT,1
Ganjam,KUKUDAKHANDI,KANKIA,BANIAMARI,20
Ganjam,KUKUDAKHANDI,KANKIA,BARDHANGADA,8
Ganjam,KUKUDAKHANDI,KANKIA,BETAJHARI,6
Ganjam,KUKUDAKHANDI,KANKIA,BHALIAGUDA,7
Ganjam,KUKUDAKHANDI,MOHUDA,BIKASHPUR,9
Ganjam,KUKUDAKHANDI,MOHUDA,BURUGAM,25
Ganjam,NAME OF THE BLOCK,NAME OF THE GRAM PANCHAYAT,NAME OF THE VILLAGE,141
Ganjam,PATRAPUR,AMBPUR,THALIBADA,4
Ganjam,PATRAPUR,ANKULI,ALIAR,19
Ganjam,PATRAPUR,ANKULI,ANKULI,22
Ganjam,PATRAPUR,ANKULI,BANIABASA,2
Ganjam,PATRAPUR,ANKULI,DANTARIGADA,2
Ganjam,PATRAPUR,ANKULI,DENGAPATHAR,1
Ganjam,PATRAPUR,ANKULI,DHANBADA,13
Ganjam,PATRAPUR,ANKULI,ELAGAL,21
Ganjam,PATRAPUR,ANKULI,GADANGA,2
Ganjam,PATRAPUR,ANKULI,GAIDA,4
Ganjam,PATRAPUR,ANKULI,GAMBHARIKHOLA,10
Ganjam,PATRAPUR,ANKULI,HALADIBADA,9
Ganjam,PATRAPUR,ANKULI,JUBASAHI,8
Ganjam,PATRAPUR,ANKULI,LENGANA SAHI,3
Ganjam,PATRAPUR,ANKULI,MAHULABADA,1
Ganjam,PATRAPUR,ANKULI,MAHULBADA,1
Ganjam,PATRAPUR,ANKULI,MASANIBADA,6
Ganjam,PATRAPUR,ANKULI,PHULASHI,13
Ganjam,PATRAPUR,ANKULI,RAGHUBALAV,7
Ganjam,PATRAPUR,ANKULI,RAIKHALA,18
Ganjam,PATRAPUR,ANKULI,S. BADAPUR,2
Ganjam,PATRAPUR,ANKULI,SANAGAON,6
Ganjam,PATRAPUR,ANKULI,SIRISAGANDA,2
Ganjam,PATRAPUR,ANKULI,TABALASAHI,1
Ganjam,PATRAPUR,ANKULI,TARAMUNDA,7
Ganjam,PATRAPUR,ANKULI,TARASINGI,6
Ganjam,PATRAPUR,ANKULI,TARSINGI,1
Ganjam,PATRAPUR,ANKULI,TUBURUSINGI,7
Ganjam,PATRAPUR,ANKULI,TUPARDA,15
Ganjam,PATRAPUR,BANIABASA,MADUAGUMA,1
Ganjam,PATRAPUR,BANIABASA,MADUAGUMMA,1
Ganjam,PATRAPUR,BURATAL,ANDAANDA,36
Ganjam,PATRAPUR,BURATAL,BADUA,6
Ganjam,PATRAPUR,BURATAL,BURATAL,4
Ganjam,PATRAPUR,BURATAL,GURUDA,8
Ganjam,PATRAPUR,BURATAL,J.BADAGAON,7
Ganjam,PATRAPUR,BURATAL,KURUGADA,9
Ganjam,PATRAPUR,BURATAL,MAHALIMBA,25
Ganjam,PATRAPUR,BURATAL,MARMARIA,14
Ganjam,PATRAPUR,BURATAL,TADINGI,22
Ganjam,PATRAPUR,BURATAL,TALABURATAL,8
Ganjam,PATRAPUR,BURATAL,TALABURATALA,10
Ganjam,PATRAPUR,BURATAL,UPPER BURUTULA,19
Ganjam,PATRAPUR,BURATALA,TADINGI,1
Ganjam,PATRAPUR,DANTARIGADA,MADUAGUMMA,1
Ganjam,PATRAPUR,ELAGAL,DHANBADA,1
Ganjam,PATRAPUR,ELAGAL,MADUAGUMA,4
Ganjam,PATRAPUR,SAMANTARAPUR,CHACHADAKHOL,1
Ganjam,PATRAPUR,SAMANTARAPUR,CHANCHADKHOLA,1
Ganjam,PATRAPUR,SAMANTARAPUR,DAUBADA,1
Ganjam,PATRAPUR,SAMANTARAPUR,GOPINATHAPUR,9
Ganjam,PATRAPUR,SAMANTARAPUR,GOPINATHPUR,15
Ganjam,PATRAPUR,SAMANTARAPUR,GUDIPADAR,6
Ganjam,PATRAPUR,SAMANTARAPUR,JAMAPADAR,2
Ganjam,PATRAPUR,SAMANTARAPUR,JAMPADAR,15
Ganjam,PATRAPUR,SAMANTARAPUR,S. BADAPUR,1
Ganjam,PATRAPUR,SAMANTARAPUR,S.BADAPUR,20
Ganjam,PATRAPUR,SAMANTARAPUR,TALAPADAR,3
Ganjam,PATRAPUR,SAMANTARAPURU,CHANCHADAKHOLA,4
Ganjam,PATRAPUR,SAMANTARAPURU,DALAIBILA,1
Ganjam,PATRAPUR,SAMANTARAPURU,DALEIBILA,1
Ganjam,PATRAPUR,SAMANTARAPURU,DAUBADA,9
