District,Block,Gram Panchayat,Village,Beneficiary_Count
Jharuguda,BLOCK,GRAM PANCHAYAT,VILLAGE,49
Jharuguda,JHARSUGUDA,BADMAL,BADMAL,18
Jharuguda,JHARSUGUDA,BADMAL,BRUNDAMAL,17
Jharuguda,JHARSUGUDA,CHANDINIMAL,BARPALI,2
Jharuguda,JHARSUGUDA,CHANDINIMAL,GHUSURAMUNDA,4
Jharuguda,JHARSUGUDA,CHANDINIMAL,KANDAKUDA,4
Jharuguda,JHARSUGUDA,CHANDINIMAL,KECHHUBAHAL,7
Jharuguda,JHARSUGUDA,CHANDNIMAL,CHANDNIMAL,3
Jharuguda,JHARSUGUDA,DALKI,BANJARI,1
Jharuguda,JHARSUGUDA,DALKI,PURNA,50
Jharuguda,JHARSUGUDA,DURLAGA,DURLAGA,44
Jharuguda,JHARSUGUDA,GOURMAL,GOUDAMAL,31
Jharuguda,JHARSUGUDA,GOURMAL,JOB,2
Jharuguda,JHARSUGUDA,GOURMAL,NAIKDIHI,6
Jharuguda,JHARSUGUDA,GOURMAL,NUAMUNDA,2
Jharuguda,JHARSUGUDA,H. KATAPALI,BEHERAPAT,12
Jharuguda,JHARSUGUDA,H. KATAPALI,H.KANTAPALI,59
Jharuguda,JHARSUGUDA,LOISINGH,CHARBHATI,7
Jharuguda,JHARSUGUDA,LOISINGH,KOILAGA,23
Jharuguda,JHARSUGUDA,LOISINGH,NIKTIMAL,3
Jharuguda,JHARSUGUDA,MALDA,RAMPUR,3
Jharuguda,JHARSUGUDA,PATRAPALI,PATRAPALI,20
Jharuguda,JHARSUGUDA,RAJPUR,AMDARAH,46
Jharuguda,JHARSUGUDA,RAJPUR,JUNANIMUNDA,7
Jharuguda,JHARSUGUDA,RAJPUR,RAJPUR,3
Jharuguda,JHARSUGUDA,TALPATIA,TALPATIA,58
Jharuguda,JHARSUGUDA,TALPATIA,TANGARPALI,1
Jharuguda,JHARSUGUDA,TILEIMAL,TILEIMAL,9
Jharuguda,JHARSUGUDA,TILEIMAL,TILEMAL,34
Jharuguda,KIRMIRA,ARDA,ARDA,17
Jharuguda,KIRMIRA,BANDHPALI,BANDHPALI,2
Jharuguda,KIRMIRA,BANDHPALI,BHALUPATRA,21
Jharuguda,KIRMIRA,BANDHPALI,SIALRAMA,1
Jharuguda,KIRMIRA,BANDHPALI,TAKURPADA,2
Jharuguda,KIRMIRA,BANDHPALI,THAKURPADA,1
Jharuguda,KIRMIRA,BHIMJORE,BHIMJORE,20
Jharuguda,KIRMIRA,BHIMJORE,HANDATUPA,1
Jharuguda,KIRMIRA,DURLAGA,TALMAL,16
Jharuguda,KIRMIRA,GOUDPANPALI,KADOBAHAL,6
Jharuguda,KIRMIRA,GOUDPANPALI,PANPALI,8
Jharuguda,KIRMIRA,GOUDPANPALI,PITAMAL,13
Jharuguda,KIRMIRA,GOUDPANPALI,SARASMAL,1
Jharuguda,KIRMIRA,GOUDPANPALI,TUMADIHI,11
Jharuguda,KIRMIRA,JHARMUNDA,BAIJAPALI,16
Jharuguda,KIRMIRA,JHARMUNDA,BARPAN,13
Jharuguda,KIRMIRA,JHARMUNDA,CHAMARDIHI,9
Jharuguda,KIRMIRA,JHARMUNDA,JHARMUNDA,2
Jharuguda,KIRMIRA,JHARMUNDA,KULUTHMAL,5
Jharuguda,KIRMIRA,KIRMIRA,HIKADHIPA,4
Jharuguda,KIRMIRA,KIRMIRA,KIRMIRA,21
Jharuguda,KIRMIRA,NAXAPALI,BIDMAL,26
Jharuguda,KIRMIRA,NAXAPALI,NAXAPALI,6
Jharuguda,KIRMIRA,POKHRASALE,AMATI,14
Jharuguda,KIRMIRA,SULEHI,BUNGABERNA,6
Jharuguda,KIRMIRA,SULEHI,CHAKABUDA,7
Jharuguda,KIRMIRA,SULEHI,CHANDRAPUR,33
Jharuguda,KIRMIRA,SULEHI,DEOPAN,17
Jharuguda,KIRMIRA,SULEHI,DHENGURJORE,12
Jharuguda,KIRMIRA,SULEHI,MEDINIPUR,13
Jharuguda,KIRMIRA,SULEHI,MENGARADIHI,1
Jharuguda,KIRMIRA,SULEHI,SULEHI,1
Jharuguda,KOLABIRA,JHIRLAPALI,BADBAHAL,2
Jharuguda,KOLABIRA,JHIRLAPALI,KUNDURUSINGHA,13
Jharuguda,KOLABIRA,KELDAMAL,SUNAJHARIA,44
Jharuguda,KOLABIRA,KELENDAMAL,NUAPALI,10
Jharuguda,KOLABIRA,KOLABIRA,KOLABIRA,16
Jharuguda,KOLABIRA,KOLABIRA,SANYASIPALI,3
Jharuguda,KOLABIRA,KULIHAMAL,DHUBENBUD,3
Jharuguda,KOLABIRA,KULIHAMAL,KULIHAMAL,52
Jharuguda,KOLABIRA,KULIHAMAL,KUSUMDIHI,2
Jharuguda,KOLABIRA,PARAMANPUR,PARAMANPUR,19
Jharuguda,KOLABIRA,POKHRASALE,AMJHARAN,8
Jharuguda,KOLABIRA,POKHRASALE,KADOMAL,10
Jharuguda,KOLABIRA,POKHRASALE,LARIAPALI,7
Jharuguda,KOLABIRA,POKHRASALE,RENGALPALI,11
Jharuguda,KOLABIRA,RAGHUNATHPALI,BUTUPALI,2
Jharuguda,KOLABIRA,RAGHUNATHPALI,PAIKAPADA,7
