District,Block,Gram Panchayat,Village,Beneficiary_Count
Kalahandi,BHAWANIPATNA,BHEJIPADAR,GUDIALPADAR,23
Kalahandi,BHAWANIPATNA,BIJEPUR,UDIPUR,6
Kalahandi,BHAWANIPATNA,CHANCHER,BENGAON,22
Kalahandi,BHAWANIPATNA,CHANCHER,BHALIA,9
Kalahandi,BHAWANIPATNA,CHANCHER,MARNABAHALI,3
Kalahandi,BHAWANIPATNA,CHANCHER,TENGNABAHALI,11
Kalahandi,BHAWANIPATNA,CHANCHER,UPPERPIPLI,4
Kalahandi,BHAWANIPATNA,CHHELIAMAL,CHHELIAMAL,4
Kalahandi,BHAWANIPATNA,CHHELIAMAL,SARGIGUDA,15
Kalahandi,BHAWANIPATNA,CHHELIAMAL,TURPI,18
Kalahandi,BHAWANIPATNA,DADPUR,DUMERBAHAL,5
Kalahandi,BHAWANIPATNA,DADPUR,JAMUNABAHAL,18
Kalahandi,BHAWANIPATNA,DEPUR,CHHATIKUDA,21
Kalahandi,BHAWANIPATNA,DUARSANI,BUNDELGUDA,18
Kalahandi,BHAWANIPATNA,DUARSANI,GUNDCHI PADAR,28
Kalahandi,BHAWANIPATNA,DUARSANI,KUTENPADAR,13
Kalahandi,BHAWANIPATNA,DUARSUNI,GUNDUCHIPADAR,1
Kalahandi,BHAWANIPATNA,DUMURIA,DUMURIA,15
Kalahandi,BHAWANIPATNA,DUMURIA,GANDBASA,3
Kalahandi,BHAWANIPATNA,DUMURIA,MASIGAON,60
Kalahandi,BHAWANIPATNA,DUMURIA,ROJNAPUR,2
Kalahandi,BHAWANIPATNA,DUMURIA,SALEGAON,54
Kalahandi,BHAWANIPATNA,DUMURIA,SIKUAN,16
Kalahandi,BHAWANIPATNA,GANDABARAJHOLA,TILJODI,16
Kalahandi,BHAWANIPATNA,GONDBARAJHOLA,GONDBARAJHOLA,1
Kalahandi,BHAWANIPATNA,GUADIALI PADAR,ICHHAPUR,1
Kalahandi,BHAWANIPATNA,GUDIALIPADAR,KURLUBHATA,11
Kalahandi,BHAWANIPATNA,JUGSAIPATNA,GURPANG,16
Kalahandi,BHAWANIPATNA,JUGSAIPATNA,HARDAGUDA,12
Kalahandi,BHAWANIPATNA,JUGSAIPATNA,MIANGPADAR,10
Kalahandi,BHAWANIPATNA,JUGSAIPATNA,MIANGPADAR (MUSHIGUDA),1
Kalahandi,BHAWANIPATNA,JUGSAIPATNA,MIANGPADAR (MUSIGUDA),2
Kalahandi,BHAWANIPATNA,JUGSAIPATNA,MIANGPADAR (UPPERPAKHI),2
