District,Block,Gram Panchayat,Village,Beneficiary_Count
Keonjhar,ANANDAPUR,BADKALIMATI,PITANAU,116
Keonjhar,ANANDAPUR,BASUNSAGAD,BASUNSAGAD,32
Keonjhar,ANANDAPUR,BAUNSAGADA,ASANABAHALI,22
Keonjhar,ANANDAPUR,BAUNSAGADA,BASUSAGADA,1
Keonjhar,ANANDAPUR,BAUNSAGADA,BAUNSAGADA,20
Keonjhar,ANANDAPUR,BAUNSAGADA,JANGHARA,13
Keonjhar,ANANDAPUR,BAUNSAGARH,BAUNSAGARH,3
Keonjhar,ANANDAPUR,BAUNSAGARH,SUNDURIA,36
Keonjhar,ANANDAPUR,BHANDARIDIHA,ASANABAHALI,1
Keonjhar,ANANDAPUR,DHAKOTHA,BADAEKATALI,78
Keonjhar,ANANDAPUR,DHAKOTHA,JALANANDA,3
Keonjhar,ANANDAPUR,DHAKOTHA,JALINANDA,47
Keonjhar,ANANDAPUR,DHAKOTHA,MARSAPAL (JAGARNNTHAPUR),7
Keonjhar,ANANDAPUR,DHAKOTHA,MARSAPAL(CHANDAPASI),6
Keonjhar,ANANDAPUR,DHAKOTHA,MARSAPAL(JAGANTHA PUR),4
Keonjhar,ANANDAPUR,DHAKOTHA,MARSHAPAL,13
Keonjhar,ANANDAPUR,DHAKOTHA,MARSHAPAL JAGANNATHPUR,1
Keonjhar,ANANDAPUR,DHAKOTHA,"MARSHAPAL,",9
Keonjhar,ANANDAPUR,DHAKOTHA,"MARSHAPAL, JAGANNTHAPUR",80
Keonjhar,ANANDAPUR,DHAKOTHA,SALAKHUDAHI,2
Keonjhar,ANANDAPUR,DHAKOTHA,SALUKUDAHI,97
Keonjhar,ANANDAPUR,DHOKATHA,JALANANDA (ULAKACHA),2
Keonjhar,ANANDAPUR,GAYALAMUNDA,BHALUGHAR,32
Keonjhar,ANANDAPUR,GAYALAMUNDA,CHAMARPOSI,14
Keonjhar,ANANDAPUR,GAYALAMUNDA,CHANDIKHAMANA,7
Keonjhar,ANANDAPUR,GAYALAMUNDA,DHABANI,82
Keonjhar,ANANDAPUR,GAYALAMUNDA,MARANADIHI,74
Keonjhar,ANANDAPUR,GAYALMUNDA,BADAPURUNAPANI,174
Keonjhar,ANANDAPUR,GAYALMUNDA,BADUDIGHAR,1
Keonjhar,ANANDAPUR,GAYALMUNDA,BADUDIGHARA,54
Keonjhar,ANANDAPUR,GAYALMUNDA,BHALUGHAR,28
Keonjhar,ANANDAPUR,GAYALMUNDA,BHALUGHARA,21
Keonjhar,ANANDAPUR,GAYALMUNDA,BHALUGHARA CHANDIKHAMAN,1
