District,Block,Gram Panchayat,Village,Beneficiary_Count
Khurda,BANPUR,DAMIABARABARA,BAGUDA,55
Khurda,BANPUR,DAMIABARABARA,BALIKANIA,23
Khurda,BANPUR,DAMIABARABARA,BANKIAPALLI,11
Khurda,BANPUR,DAMIABARABARA,BHATAPADA,55
Khurda,BANPUR,DAMIABARABARA,BHUJIA BARABARA,17
Khurda,BANPUR,DAMIABARABARA,DAMIA,49
Khurda,BANPUR,DAMIABARABARA,GURUPADA,30
Khurda,BANPUR,DAMIABARABARA,KANDULASAHI,5
Khurda,BANPUR,DAMIABARABARA,KATUALA,50
Khurda,BANPUR,DAMIABARABARA,KOSARADA,9
Khurda,BANPUR,DAMIABARABARA,KUSHAPALLI,22
Khurda,BANPUR,DAMIABARABARA,LODHABHUIN,4
Khurda,BANPUR,DAMIABARABARA,MANDAR,32
Khurda,BANPUR,DAMIABARABARA,NANDURU,10
Khurda,BANPUR,DAMIABARABARA,PODAKHAI,9
Khurda,BANPUR,DAMIABARABARA,RAMPUR,36
Khurda,BANPUR,MAHULIA,MAHULIA,27
Khurda,BANPUR,NAME OF THE GRAM PANCHAYAT,MANDAR,1
Khurda,BANPUR,NILADRI PRASAD,HARADAMA,10
Khurda,BANPUR,NILADRIPRASAD,BARAKILI MASANI SAHI,25
Khurda,BANPUR,NILADRIPRASAD,CHANDRAMA,5
Khurda,BANPUR,NILADRIPRASAD,KALAPATA,7
Khurda,BANPUR,NILADRIPRASAD,KARANJAPALLI,2
Khurda,BANPUR,NILADRIPRASAD,NUAGAON,31
Khurda,BANPUR,NILADRIPRASAD,PANASADIHA,2
Khurda,BANPUR,SIBIDA,SIBIDA,13
Khurda,BHUBANESWAR,ANDHARUA,ANDHARUA,54
Khurda,BHUBANESWAR,CHANDAKA,FIRIKINALI,38
Khurda,BHUBANESWAR,CHANDAKA,PITAGADIA,29
Khurda,BHUBANESWAR,CHANDAKA,SHYAMSUNDARPUR,35
Khurda,BHUBANESWAR,DARUTHENGA,BHALUNKA,76
Khurda,BHUBANESWAR,DARUTHENGA,CHUDANGA,57
Khurda,BHUBANESWAR,KANTABADA,BHAGABATIPUR,41
Khurda,BHUBANESWAR,MENDHASAL,BARAPITA,35
Khurda,BHUBANESWAR,MENDHASAL,GHANGAPATNA,17
Khurda,JATNI,BINDHYAGIRI,BINDHYAGIRI,63
Khurda,NAME OF THE BLOCK,NAME OF THE GRAM PANCHAYAT,NAME OF THE VILLAGE,36
