District,Block,Gram Panchayat,Village,Beneficiary_Count
Koraput,BANDHUGAON,BANDHUGAM,DASINI,11
Koraput,BANDHUGAON,BANDHUGAM,ELANGABALSA,10
Koraput,BANDHUGAON,BANDHUGAM,GATIPUT,37
Koraput,BANDHUGAON,BANDHUGAM,JHUMUKA,17
Koraput,BANDHUGAON,BANDHUGAM,KATRAGUDA,11
Koraput,BANDHUGAON,BANDHUGAM,KUNJERI,26
Koraput,BANDHUGAON,BANDHUGAM,MARDIJHOLA,16
Koraput,BANDHUGAON,BANDHUGAM,MEKADA,46
Koraput,BANDHUGAON,BANDHUGAM,MUNDIBALSA,11
Koraput,BANDHUGAON,BANDHUGAM,RAGHUMADA,11
Koraput,BANDHUGAON,BANDHUGAN,BAUNSAPUT,34
Koraput,BANDHUGAON,BANDHUGAN,GOLIPUT,28
Koraput,BANDHUGAON,BANDHUGAN,TALADABIRI,12
Koraput,BANDHUGAON,GARIDI,AMBLIPUT,29
Koraput,BANDHUGAON,GARIDI,B. GURUSHI,8
Koraput,BANDHUGAON,GARIDI,B.TURUGUDI,18
Koraput,BANDHUGAON,GARIDI,GAGABADI,31
Koraput,BANDHUGAON,GARIDI,GAJABADI,10
Koraput,BANDHUGAON,GARIDI,GOJABADI,26
Koraput,BANDHUGAON,GARIDI,JARAPA,44
Koraput,BANDHUGAON,GARIDI,K.GURUSI,61
Koraput,BANDHUGAON,GARIDI,LUNDRUKONA,70
Koraput,BANDHUGAON,GARIDI,M.TURUGUDI,35
Koraput,BANDHUGAON,GARIDI,PUTUGAAM,9
Koraput,BANDHUGAON,GARIDI,RUTAPAI,34
Koraput,BANDHUGAON,GARIDI,SODABADI,84
Koraput,BANDHUGAON,JAGUGUDA,ANTAMODA,8
Koraput,BANDHUGAON,JAGUGUDA,JAGUGUDA,30
Koraput,BANDHUGAON,JAGUGUDA,JENDAPARTING,46
Koraput,BANDHUGAON,JAGUGUDA,KAMBESU,14
Koraput,BANDHUGAON,JAGUGUDA,KUNTESH,16
Koraput,BANDHUGAON,JAGUGUDA,LACHHAKAPADU,10
Koraput,BANDHUGAON,JAGUGUDA,MUNDESU,9
Koraput,BANDHUGAON,JAGUGUDA,NAKITI,7
Koraput,BANDHUGAON,JAGUGUDA,PARTINGI,78
Koraput,BANDHUGAON,JAGUGUDA,RANGAMGUDA,17
Koraput,BANDHUGAON,JAGUGUDA,SERAPADU,21
Koraput,BANDHUGAON,KABIRIBADI,DIMITIGUDA,12
Koraput,BANDHUGAON,KABIRIBADI,K.TIKARAPADA,22
Koraput,BANDHUGAON,KABIRIBADI,LOPETA,41
Koraput,BANDHUGAON,KABIRIBADI,PANASAPADAR,14
Koraput,BANDHUGAON,KAMUGANDA,BADAMATHUR,61
Koraput,BANDHUGAON,KAMUGANDA,KAMUGANDA,24
Koraput,BANDHUGAON,KAPLADA,CHEKAVALSA,10
Koraput,BANDHUGAON,KUMBAGONDA,PEDAKAMBRA,23
Koraput,BANDHUGAON,KUMBHARIPUT,KUSUMPUT,32
Koraput,BANDHUGAON,KUMBHARIPUT,TALAJAMUGUDA,16
Koraput,BANDHUGAON,KUMBHARIPUT/ NEELABADI,CHEKAPADU,41
Koraput,BANDHUGAON,KUMBHARIPUT/ NEELABADI,DONDABADI,19
Koraput,BANDHUGAON,KUMBHARIPUT/ NEELABADI,GULIMIGUDA - A,15
Koraput,BANDHUGAON,KUMBHARIPUT/ NEELABADI,GULIMIGUDA-A,2
Koraput,BANDHUGAON,KUMBHARIPUT/ NEELABADI,JAYAGUDA,17
Koraput,BANDHUGAON,KUTRABEDA,BILAMALA,32
