District,Block,Gram Panchayat,Village,Beneficiary_Count
Malkangiri,CHITRAKONDA,ANDIRAPALLI,ANDRAPALLI,25
Malkangiri,CHITRAKONDA,ANDIRAPALLI,ARAPADAR,69
Malkangiri,CHITRAKONDA,ANDIRAPALLI,ARLINGPODA,25
Malkangiri,CHITRAKONDA,ANDIRAPALLI,BACHALPADAR,34
Malkangiri,CHITRAKONDA,ANDIRAPALLI,BHAJAGUDA,1
Malkangiri,CHITRAKONDA,ANDIRAPALLI,DABUGUDA,25
Malkangiri,CHITRAKONDA,ANDIRAPALLI,DHAKADAPADAR,39
Malkangiri,CHITRAKONDA,ANDIRAPALLI,GHUSUMPADAR,44
Malkangiri,CHITRAKONDA,ANDIRAPALLI,JANTRI,36
Malkangiri,CHITRAKONDA,ANDIRAPALLI,KADALIBANDHA,11
Malkangiri,CHITRAKONDA,ANDIRAPALLI,KANDAMINJARI,5
Malkangiri,CHITRAKONDA,ANDIRAPALLI,KODIGANDHI,23
Malkangiri,CHITRAKONDA,ANDIRAPALLI,KODIGONDHI,28
Malkangiri,CHITRAKONDA,ANDIRAPALLI,KONDAMANJARI,14
Malkangiri,CHITRAKONDA,ANDIRAPALLI,MARIBEDA,21
Malkangiri,CHITRAKONDA,ANDIRAPALLI,NADAMANJARI,2
Malkangiri,CHITRAKONDA,ANDIRAPALLI,NANMANJARI,8
Malkangiri,CHITRAKONDA,ANDIRAPALLI,RAMAGUDA,12
Malkangiri,CHITRAKONDA,ANDIRAPALLI,SADARAM,12
Malkangiri,CHITRAKONDA,ANDIRAPALLI,SANYASIGUDA,39
Malkangiri,CHITRAKONDA,ANDIRAPALLI,TABERU,34
Malkangiri,CHITRAKONDA,ANDIRAPALLI,TIKARPADA,28
Malkangiri,CHITRAKONDA,ANDIRAPALLI,TOTAGUDA,19
Malkangiri,CHITRAKONDA,BADAPADA,BADAPADA,77
Malkangiri,CHITRAKONDA,BADAPADA,BADAPUT,20
Malkangiri,CHITRAKONDA,BADAPADA,BHIMARAM,66
Malkangiri,CHITRAKONDA,BADAPADA,BHIMARAMA,32
Malkangiri,CHITRAKONDA,BADAPADA,KADAGUMMA,33
Malkangiri,CHITRAKONDA,BADAPADA,KARLAMALA,12
Malkangiri,CHITRAKONDA,BADAPADA,KHAJURIGUMMA,8
Malkangiri,CHITRAKONDA,BADAPADA,KHARIMALA,33
Malkangiri,CHITRAKONDA,BADAPADA,MALIGUDA,4
Malkangiri,CHITRAKONDA,BADAPADA,MUTAMBO,35
Malkangiri,CHITRAKONDA,BADAPADA,SILIGUMMA,21
Malkangiri,CHITRAKONDA,BADAPADAR,ANJARIAGUDA,17
Malkangiri,CHITRAKONDA,BADAPADAR,BADAPADAR,25
Malkangiri,CHITRAKONDA,BADAPADAR,BAIGUDA,5
Malkangiri,CHITRAKONDA,BADAPADAR,BANGURUPADA,17
Malkangiri,CHITRAKONDA,BADAPADAR,GODIPUT,7
Malkangiri,CHITRAKONDA,BADAPADAR,ISWARGUDA,9
Malkangiri,CHITRAKONDA,BADAPADAR,KAMARAGUDA,36
Malkangiri,CHITRAKONDA,BADAPADAR,KAMARGUDA,32
Malkangiri,CHITRAKONDA,BADAPADAR,LAMBASINGH,22
Malkangiri,CHITRAKONDA,BADAPADAR,PABLIGUDA,2
Malkangiri,CHITRAKONDA,BADAPADAR,PADMAGIRI,35
Malkangiri,CHITRAKONDA,BADAPADAR,PALASIPADAR,34
Malkangiri,CHITRAKONDA,BADAPADAR,PHULAPADAR,14
Malkangiri,CHITRAKONDA,BADAPADAR,PHULAPUT,3
Malkangiri,CHITRAKONDA,BADAPADAR,RANGINIGUDA,7
Malkangiri,CHITRAKONDA,BADAPADAR,REKHAPALLI,41
Malkangiri,CHITRAKONDA,CHITRAKONDA,CHAMPAJHOLA,6
Malkangiri,CHITRAKONDA,CHITRAKONDA,CHITRAKONDA,1
Malkangiri,CHITRAKONDA,CHITRAKONDA,MEGHAJIN,2
Malkangiri,CHITRAKONDA,CHITRAKONDA,RAJULKONDA,29
Malkangiri,CHITRAKONDA,CHITRAKONDA,RSC-16,9
Malkangiri,CHITRAKONDA,DORAGUDA,BHURSUNDIGUDA,16
Malkangiri,CHITRAKONDA,DORAGUDA,KAMRAGUDA,1
Malkangiri,CHITRAKONDA,DORAGUDA,RSC-3,5
Malkangiri,CHITRAKONDA,GUNTHAWADA,AMBAPADAR,25
Malkangiri,CHITRAKONDA,GUNTHAWADA,BADAKONDA,6
Malkangiri,CHITRAKONDA,GUNTHAWADA,GALEGUDA,1
Malkangiri,CHITRAKONDA,GUNTHAWADA,GOLAGUDA,2
Malkangiri,CHITRAKONDA,GUNTHAWADA,GOLOGUDA,11
Malkangiri,CHITRAKONDA,GUNTHAWADA,GOUDAGUDA,3
Malkangiri,CHITRAKONDA,GUNTHAWADA,GUNTHAWADA,23
Malkangiri,CHITRAKONDA,GUNTHAWADA,HANSAGUDA,4
Malkangiri,CHITRAKONDA,GUNTHAWADA,HANTALGUDA,7
Malkangiri,CHITRAKONDA,GUNTHAWADA,HARIPUR,5
Malkangiri,CHITRAKONDA,GUNTHAWADA,HONTALGUDA,1
Malkangiri,CHITRAKONDA,GUNTHAWADA,KAMARGUDA,1
Malkangiri,CHITRAKONDA,GUNTHAWADA,KANDHAGUDA,3
Malkangiri,CHITRAKONDA,GUNTHAWADA,MAJHIGUDA,16
Malkangiri,CHITRAKONDA,GUNTHAWADA,MUDULIGUDA,10
Malkangiri,CHITRAKONDA,GUNTHAWADA,SISAGUDA,10
Malkangiri,CHITRAKONDA,GUNTHAWADA,SUKRIGUDA,12
Malkangiri,CHITRAKONDA,GUNTHAWADA,TALAPADAR,11
Malkangiri,CHITRAKONDA,JODAMBA,BANDHAGUDA,13
Malkangiri,CHITRAKONDA,JODAMBA,BIHANGUDI,19
Malkangiri,CHITRAKONDA,JODAMBA,DARLABEDA,27
Malkangiri,CHITRAKONDA,JODAMBA,ELAMPANKA,9
Malkangiri,CHITRAKONDA,JODAMBA,GAJALMAMUDI,82
Malkangiri,CHITRAKONDA,JODAMBA,GAJULGUMMI,18
Malkangiri,CHITRAKONDA,JODAMBA,GOPINATHGUDA,1
Malkangiri,CHITRAKONDA,JODAMBA,HANJARIAGUDA,35
Malkangiri,CHITRAKONDA,JODAMBA,JAGANNATHGUDA,1
Malkangiri,CHITRAKONDA,JODAMBA,JAJPALAM,28
Malkangiri,CHITRAKONDA,JODAMBA,JAMPARUL,17
Malkangiri,CHITRAKONDA,JODAMBA,JANTURAI,37
Malkangiri,CHITRAKONDA,JODAMBA,JHADIGUDA,22
Malkangiri,CHITRAKONDA,JODAMBA,JODAMBO,15
Malkangiri,CHITRAKONDA,JODAMBA,KATUGUDA,15
Malkangiri,CHITRAKONDA,JODAMBA,KENDUGUDA,11
Malkangiri,CHITRAKONDA,JODAMBA,KHAJURIGUDA,34
Malkangiri,CHITRAKONDA,JODAMBA,KODAPUT,5
Malkangiri,CHITRAKONDA,JODAMBA,KUNTURUPADAR,22
Malkangiri,CHITRAKONDA,JODAMBA,LADI GUDA,8
Malkangiri,CHITRAKONDA,JODAMBA,MAJHIGUDA,6
Malkangiri,CHITRAKONDA,JODAMBA,MANJAGUDA,13
Malkangiri,CHITRAKONDA,JODAMBA,MATI KHALA,18
Malkangiri,CHITRAKONDA,JODAMBA,NILARAM,3
Malkangiri,CHITRAKONDA,JODAMBA,NUAGUDA,4
Malkangiri,CHITRAKONDA,JODAMBA,PALASAPADAR,12
Malkangiri,CHITRAKONDA,JODAMBA,PANASGANDHI,11
Malkangiri,CHITRAKONDA,JODAMBA,PODAKHAL,9
Malkangiri,CHITRAKONDA,JODAMBA,RANGINIGUDA,19
Malkangiri,CHITRAKONDA,JODAMBA,SANATALPADAR,5
Malkangiri,CHITRAKONDA,JODAMBA,SIMILIPODAR,16
Malkangiri,CHITRAKONDA,JODAMBA,SINDHI BADI,15
Malkangiri,CHITRAKONDA,JODAMBA,TANTAPALLI,45
Malkangiri,CHITRAKONDA,JODAMBA,TARABEDA,46
Malkangiri,CHITRAKONDA,JODAMBA,TIKARPADA,17
Malkangiri,CHITRAKONDA,JODAMBA,TOTAGUDA,18
Malkangiri,CHITRAKONDA,JODAMBA,TUMULMAMUDI,10
Malkangiri,CHITRAKONDA,KAPATUTI,BADENGA,18
Malkangiri,CHITRAKONDA,KAPATUTI,KAPATUTI,36
Malkangiri,CHITRAKONDA,KAPATUTI,MADHIGUDA,2
Malkangiri,CHITRAKONDA,KAPATUTI,MAJAGUDA,2
Malkangiri,CHITRAKONDA,KAPATUTI,MAJHAGUDA,1
Malkangiri,CHITRAKONDA,KAPATUTI,MAJHIGUDA,1
Malkangiri,CHITRAKONDA,KAPATUTI,MASTIPUT,32
Malkangiri,CHITRAKONDA,KAPATUTI,ORGEL,5
Malkangiri,CHITRAKONDA,KAPATUTI,PETAL,3
Malkangiri,CHITRAKONDA,KAPATUTI,RANGINIGUDA,13
Malkangiri,CHITRAKONDA,KURMANUR,ALURKOTA,3
Malkangiri,CHITRAKONDA,KURMANUR,CHINTAGUNAL,1
Malkangiri,CHITRAKONDA,KURMANUR,DANTUNGUDA,5
Malkangiri,CHITRAKONDA,KURMANUR,GHATIGUDA,22
Malkangiri,CHITRAKONDA,KURMANUR,GILAMAMUDI,9
Malkangiri,CHITRAKONDA,KURMANUR,JODAMBO,2
Malkangiri,CHITRAKONDA,KURMANUR,KENDUGUDA,11
Malkangiri,CHITRAKONDA,KURMANUR,KURMANUR,4
Malkangiri,CHITRAKONDA,KURMANUR,MADHUMAL,10
Malkangiri,CHITRAKONDA,KURMANUR,MUDULIGUDA,12
Malkangiri,CHITRAKONDA,KURMANUR,NANDAPUR,9
Malkangiri,CHITRAKONDA,KURMANUR,NIMANPALLI,3
Malkangiri,CHITRAKONDA,KURMANUR,RASABEDA,5
Malkangiri,CHITRAKONDA,KURMANUR,SABUNGUDA,10
Malkangiri,CHITRAKONDA,KURMANUR,SARIGETA,2
Malkangiri,CHITRAKONDA,NUAGUDA,BADAPUT,11
Malkangiri,CHITRAKONDA,NUAGUDA,ERAGOPU,12
Malkangiri,CHITRAKONDA,NUAGUDA,KATAGUDA,13
Malkangiri,CHITRAKONDA,NUAGUDA,KHALAPADAR,16
Malkangiri,CHITRAKONDA,NUAGUDA,PALIGUDA,17
Malkangiri,CHITRAKONDA,NUAGUDA,PANTARBAKA,20
Malkangiri,CHITRAKONDA,NUAGUDA,PURUNAPANI,21
Malkangiri,CHITRAKONDA,NUAGUDA,R.S.C-10,20
