District,Block,Gram Panchayat,Village,Beneficiary_Count
Mayurbhanj,BANGIRPOSI,Banakati,Kantapal,7
Mayurbhanj,BANGIRPOSI,Banakati,Sagunasole,2
Mayurbhanj,BANGIRPOSI,Banakati,Sarasaposi,3
Mayurbhanj,BANGIRPOSI,Banakati,Satbhaya,21
Mayurbhanj,BANGIRPOSI,Nishchinta,Bholagadia,7
Mayurbhanj,BANGIRPOSI,Nishchinta,Sundhisahi,8
Mayurbhanj,BANGIRPOSI,Sorishapal,Kusmatota,8
Mayurbhanj,BANGRIPOSI,Banakati,Dahisahi,1
Mayurbhanj,BANGRIPOSI,Banakati,Satbhaya,2
Mayurbhanj,BANGRIPOSI,Nishchinta,Gohirapal,1
Mayurbhanj,BANGRIPOSI,Nishchinta,Nishchinta,1
Mayurbhanj,BANGRIPOSI,Sorishapal,Alhapani,11
Mayurbhanj,BANGRIPOSI,Sorishapal,Baunspahadi,4
Mayurbhanj,BANGRIPOSI,Sorishapal,Kukurbhuka,3
Mayurbhanj,BANGRIPOSI,Sorishapal,Palasbani,14
Mayurbhanj,BARIPADA,Rajabasa,Gobardhansole,54
Mayurbhanj,Badasahi,Chelia,Mankadkenda,2
Mayurbhanj,Badasahi,Chelia,Tirpada,5
Mayurbhanj,Badasahi,Deulia,Deulia,5
Mayurbhanj,Badasahi,Deulia,Purunapani,9
Mayurbhanj,Badasahi,Jadunathpur,Hinjalgadia,1
Mayurbhanj,Badasahi,Jarkani,Jamsole,1
Mayurbhanj,Badasahi,Kochilakhunta,Ghusuria,42
Mayurbhanj,Badasahi,Kochilakhunta,Junapada,44
Mayurbhanj,Badasahi,Kuchilakhunta,Kuchilakhunta,9
Mayurbhanj,Badasahi,Managobinda pur,Dhanapal,5
Mayurbhanj,Badasahi,Paunsia,Jaganathpur,34
Mayurbhanj,Badasahi,Paunsia,Paunsia,23
Mayurbhanj,Badasahi,Paunsia,Rajgarh,62
Mayurbhanj,Badasahi,Salagan,Salagan,30
Mayurbhanj,Badasahi,Sankerko,Badkerko,12
Mayurbhanj,Badasahi,Sankerko,Kadaliasole,6
Mayurbhanj,Badasahi,Sankerko,Kandaliasole,5
Mayurbhanj,Badasahi,Sankerko,Krupasindhupur,1
Mayurbhanj,Badasahi,Sankerko,Tikayatpur,3
Mayurbhanj,Badasahi,Sankerko,Tungasole,1
Mayurbhanj,Badasahi,Sialghati,Kauchi,41
Mayurbhanj,Badasahi,Sialighati,Banatalapada,68
Mayurbhanj,Badasahi,Sialighati,Banatalapada D,1
