District,Block,Gram Panchayat,Village,Beneficiary_Count
Nayagarh,DASPALLA,BANIGOCHHA,BANIBIRI,19
Nayagarh,DASPALLA,BANIGOCHHA,BANIGOCHHA,16
Nayagarh,DASPALLA,BANIGOCHHA,BANIGOCHHA KHESARA,12
Nayagarh,DASPALLA,BANIGOCHHA,BANIGOCHHA KHESERA/ KAMETI PANGA,12
Nayagarh,DASPALLA,BANIGOCHHA,BATAGAON,7
Nayagarh,DASPALLA,BANIGOCHHA,BHAGAMUNDA,5
Nayagarh,DASPALLA,BANIGOCHHA,BIDAPAJU,41
Nayagarh,DASPALLA,BANIGOCHHA,GARASA,13
Nayagarh,DASPALLA,BANIGOCHHA,GUMURUKHOLA,10
Nayagarh,DASPALLA,BANIGOCHHA,GURA,24
Nayagarh,DASPALLA,BANIGOCHHA,GURHA KHESERA,4
Nayagarh,DASPALLA,BANIGOCHHA,KULURUKUMPA,1
Nayagarh,DASPALLA,BANIGOCHHA,NEPHARI,17
Nayagarh,DASPALLA,BANIGOCHHA,PAJIGADU,10
Nayagarh,DASPALLA,BANIGOCHHA,PEMPEREDA,2
Nayagarh,DASPALLA,BANIGOCHHA,RAUJIHARI,27
Nayagarh,DASPALLA,BANIGOCHHA,SALABHANGA,7
Nayagarh,DASPALLA,BANIGOCHHA,TAKUDA,30
Nayagarh,DASPALLA,BANIGOCHHA,TAKUDA (DINGIBADIKHESERA),3
Nayagarh,DASPALLA,BANIGOCHHA,TANGANADI,20
Nayagarh,DASPALLA,BANIGOCHHA,TUMUNDIBIDA,10
Nayagarh,DASPALLA,BANIGOCHHA,UPARABIDA,14
Nayagarh,DASPALLA,BHOGABADI,BULUNDA,19
Nayagarh,DASPALLA,BHOGABADI,PUTUBARI,11
Nayagarh,DASPALLA,BHOGABADI,TANGASAHI,14
Nayagarh,DASPALLA,BUGUDA,BUGUDA COLONY,38
Nayagarh,DASPALLA,CHADEYAPALLI,CHADEYAPALLI,2
Nayagarh,DASPALLA,CHADHEYAPALLI,CHADEYAPALLI,21
Nayagarh,DASPALLA,CHADHEYAPALLI,HANUMANTA,17
Nayagarh,DASPALLA,CHADHEYAPALLI,JURAGANDA,53
Nayagarh,DASPALLA,CHADHEYAPALLI,MALIKASAHI,18
Nayagarh,DASPALLA,CHADHEYAPALLI,POLARA,7
Nayagarh,DASPALLA,DUDA,KANADI,19
Nayagarh,DASPALLA,GHOLA HANDI,NARADIGOCHHA,18
Nayagarh,DASPALLA,GHOLA HANDI,SANAKAMETI,22
Nayagarh,DASPALLA,GHUGUDIPADA,ALAPANGA,1
