District,Block,Gram Panchayat,Village,Beneficiary_Count
Nuapada,BLOCK,GRAM PANCHAYAT,VILLAGE,108
Nuapada,BODEN,BABEBIR,BABEBIR,7
Nuapada,BODEN,BHAINSADANI,BHAINSADANI,23
Nuapada,BODEN,BHAINSADANI,DHOBEI,25
Nuapada,BODEN,BHAINSADANI,KOTAGAON,2
Nuapada,BODEN,BHAINSADANI,KOTGAON,31
Nuapada,BODEN,BHAINSADANI,PATADARAHA,39
Nuapada,BODEN,BHAINSADANI,PATADARHA,211
Nuapada,BODEN,BHAINSADANI,REDHAMAL,24
Nuapada,BODEN,BHAINSADANI,RUNDI,58
Nuapada,BODEN,BODEN,TEMRI,43
Nuapada,BODEN,BOIRGAON,BAGLORE,50
Nuapada,BODEN,BOIRGAON,BOIRGAON,2
Nuapada,BODEN,BOIRGAON,CHIKALCHUAN,22
Nuapada,BODEN,BOIRGAON,KHADUPANI,43
Nuapada,BODEN,BOIRGAON,MAHULPADAR,66
Nuapada,BODEN,BOIRGAON,SUNAMUDI,81
Nuapada,BODEN,DOMJHAR,MARGAON,31
Nuapada,BODEN,DOMJHAR,SALEPADA,10
Nuapada,BODEN,FARASARA,BHERUAMAL,25
Nuapada,BODEN,FARASARA,JUBARJAPUR,24
Nuapada,BODEN,FARASARA,PUTUPADA,4
Nuapada,BODEN,KARANGAMAL,KARANGAMAL,9
Nuapada,BODEN,KARLAKOT,KIREKELA,21
Nuapada,BODEN,KARLAKOT,SAHAJMUNDA,3
Nuapada,BODEN,KARLAKOT,SARGIMUNDA,82
Nuapada,BODEN,KHAIRA,AMERA,21
Nuapada,BODEN,KHAIRA,KHAIRA,20
Nuapada,BODEN,NAGPADA,BHUIPANI,117
Nuapada,BODEN,NAGPADA,JHARNAMAL,28
Nuapada,BODEN,NAGPADA,MAKARBIRLI,22
Nuapada,BODEN,NAGPADA,NAGPADA,78
Nuapada,BODEN,NAGPADA,SIRLI,41
Nuapada,KHARIAR,BADI,JUNANI,2
Nuapada,KHARIAR,BARGAON,PODAPALI,6
Nuapada,KHARIAR,BARGAON,THELKODUNGARI,3
Nuapada,KHARIAR,BHOJPUR,CHANABEDA,3
Nuapada,KHARIAR,BHOJPUR,ROHENPADAR,22
Nuapada,KHARIAR,BIRIGHAT,BIRIGHAT,50
Nuapada,KHARIAR,BIRIGHAT,KUSHAMAL,10
Nuapada,KHARIAR,DABRI,DABRI,34
Nuapada,KHARIAR,DABRI,KODALDUNGARI,17
Nuapada,KHARIAR,KHASABAHAL,ARTATRANAPUR,1
Nuapada,KHARIAR,KHASABAHAL,KHAIRBHADI,11
Nuapada,KHARIAR,KHASABAHAL,NUARAJPUR,6
Nuapada,KHARIAR,KIRIKITA,JUNAPANI,25
Nuapada,KHARIAR,KIRIKITA,KIRIKITA,67
Nuapada,KHARIAR,LANJI,BHIMAPADAR,4
Nuapada,KHARIAR,LANJI,DUMERJOR,12
Nuapada,KHARIAR,LANJI,KARANDOBA,35
Nuapada,KHARIAR,LANJI,KENDUGUDA,38
Nuapada,KHARIAR,LANJI,LANJI,46
Nuapada,KHARIAR,LANJI,MANTRITARAI,45
Nuapada,KHARIAR,NEHENA,BADADOHEL,5
Nuapada,KHARIAR,NEHENA,LACHHIPUR,6
Nuapada,KHARIAR,RANIMUNDA,KAMPANIGUMA,41
Nuapada,KHARIAR,RANIMUNDA,KOTAMAL,5
Nuapada,KHARIAR,RANIMUNDA,MAHULKOT,13
Nuapada,KHARIAR,RANIMUNDA,PALMA,35
Nuapada,KHARIAR,RANIMUNDA,RANIMUNDA,26
Nuapada,KHARIAR,RANIMUNDA,SAMADAPADAR,19
Nuapada,KHARIAR,RANIMUNDA,SAMADPADAR,54
Nuapada,KHARIAR,SANMAHESWAR,KULIGAON,11
Nuapada,KOMNA,AGREN,AGREN,14
Nuapada,KOMNA,BUDHIKOMNA,PANDRAPATHAR,35
Nuapada,KOMNA,DARLIPADA,BALIKHAMAR,39
Nuapada,KOMNA,DARLIPADA,DARLIPADA,31
Nuapada,KOMNA,GANDAMER,DANJHOLA,8
Nuapada,KOMNA,JADAMUNDA,THONGO,3
Nuapada,KOMNA,JATGARH,BALIPATI,23
Nuapada,KOMNA,JATGARH,GADGADBAHALI,22
Nuapada,KOMNA,JATGARH,JATAGARH,31
Nuapada,KOMNA,JATGARH,JATGARH,22
Nuapada,KOMNA,JATGARH,SHIHNAMUNDA,6
Nuapada,KOMNA,JHAGRAHI,CHHATA,9
Nuapada,KOMNA,JHAGRAHI,DHORLAMUNDA,78
Nuapada,KOMNA,JHAGRAHI,JHAGRAHI,8
Nuapada,KOMNA,KANDETARA,KANDETARA,33
Nuapada,KOMNA,KANDETARA,MUSAPALI,6
Nuapada,KOMNA,KOMNA,BHARUAMUNDA,29
Nuapada,KOMNA,KOMNA,KOMNA,12
Nuapada,KOMNA,KOMNA,POINER,23
Nuapada,KOMNA,KONABIRA,BAHALMUNDA,7
Nuapada,KOMNA,KURESWAR,DOHELPADA,10
Nuapada,KOMNA,KURESWAR,KHAIRBHADI,16
Nuapada,KOMNA,KURESWAR,KURESWAR,4
Nuapada,KOMNA,KURESWAR,RENG,10
Nuapada,KOMNA,KURUMPURI,CHOUKAPADA,4
Nuapada,KOMNA,KURUMPURI,DIAMUNDA,24
Nuapada,KOMNA,KURUMPURI,KURUMPURI,15
Nuapada,KOMNA,KURUMPURI,LIMDIHI,16
Nuapada,KOMNA,KURUMPURI,MUNDAPALA,18
Nuapada,KOMNA,MICHHAPALI,BATIBAHAL,14
Nuapada,KOMNA,MICHHAPALI,CHERECHUAN,24
Nuapada,KOMNA,MICHHAPALI,KHOLIGAON,27
Nuapada,KOMNA,MICHHAPALI,LITIBAHAL,20
Nuapada,KOMNA,MICHHAPALI,MAJHAGAON,8
Nuapada,KOMNA,MICHHAPALI,MICHHAPALI,39
Nuapada,KOMNA,NUAGAON,KAMKEDA,21
Nuapada,KOMNA,NUAGAON,THUTIBAR,3
Nuapada,KOMNA,PENDRABAN,BAHABAL,17
Nuapada,KOMNA,PENDRABAN,CHANDOPALA,27
Nuapada,KOMNA,PENDRABAN,DHARAMSAGAR,13
Nuapada,KOMNA,PENDRABAN,JHIKIDUNGARI,5
Nuapada,KOMNA,RAJANA,BELGOAN,12
Nuapada,KOMNA,RAJANA,DEODARHA,48
Nuapada,KOMNA,SAMAR SING,BHURUKADHODA,69
Nuapada,KOMNA,SIALATI,BAGAMUNDA,3
Nuapada,KOMNA,SIALATI,BELARDANA,2
Nuapada,KOMNA,SIALATI,BHALUKONA,20
Nuapada,KOMNA,SIALATI,SIALATI,23
Nuapada,KOMNA,SOSENG,ADAR,48
Nuapada,KOMNA,SOSENG,BHAOSIL,50
Nuapada,KOMNA,SOSENG,DEOSIL,53
Nuapada,KOMNA,SOSENG,JALMADEI,23
Nuapada,KOMNA,SOSENG,RUPIAM,43
Nuapada,KOMNA,SOSENG,SOSENG,76
Nuapada,KOMNA,SUNABEDA,GATIBEDA,146
Nuapada,KOMNA,SUNABEDA,JAMGAON,101
Nuapada,KOMNA,SUNABEDA,JUNAPANI,34
Nuapada,KOMNA,SUNABEDA,KOKED,44
Nuapada,KOMNA,SUNABEDA,KOTRABEDA,23
Nuapada,KOMNA,SUNABEDA,SHIBANARAYANPUR,43
Nuapada,KOMNA,SUNABEDA,SUNABEDA,117
Nuapada,KOMNA,TARBOD,TARBOD,3
Nuapada,NUAPADA,AMANARA,DALDALI,24
Nuapada,NUAPADA,AMANARA,MUSURANGI,30
Nuapada,NUAPADA,AMANARA,PATALGHUTKRI,3
Nuapada,NUAPADA,AMSENA,KALYANPUR,2
Nuapada,NUAPADA,BHALESWAR,AMODI,23
Nuapada,NUAPADA,BHALESWAR,BAROKOTHI,10
Nuapada,NUAPADA,BHARUAMUNDA,BHARUAMUNDA,86
Nuapada,NUAPADA,BHARUAMUNDA,CHHOTALODRA,25
Nuapada,NUAPADA,BHARUAMUNDA,CHHOTLODRA,8
Nuapada,NUAPADA,BHARUAMUNDA,KATINGPANI,56
Nuapada,NUAPADA,BHARUAMUNDA,LODRA,44
Nuapada,NUAPADA,BIROMAL,BIROMAL,21
Nuapada,NUAPADA,BISORA,MASANKUNDA,4
Nuapada,NUAPADA,BOIRBHADI,MAGURPANI,22
Nuapada,NUAPADA,BOIRBHADI,SARAIPALI,1
Nuapada,NUAPADA,CHICHIRIPANI,CHICHIRIPANI,1
Nuapada,NUAPADA,CHULABAHATA,PANDRIPANI,22
Nuapada,NUAPADA,CHULABHAT,BHAINSADADAR,3
Nuapada,NUAPADA,CHULABHAT,BHALUPANI,8
Nuapada,NUAPADA,CHULABHAT,GANGADIGARH,62
Nuapada,NUAPADA,CHULABHAT,PAKHANPADAR,35
Nuapada,NUAPADA,CHULABHAT,PANDRIPANI,27
Nuapada,NUAPADA,CHULABHAT,SANTOSHPADA,43
Nuapada,NUAPADA,CHULABHATA,GANGADIGARH,18
Nuapada,NUAPADA,CHULABHATA,PANDRIPANI,53
Nuapada,NUAPADA,CHULBHATA,PANDRIPANI,5
Nuapada,NUAPADA,DARLIMUNDA,DARLIMUNDA,69
Nuapada,NUAPADA,DARLIMUNDA,KHALIAPANI,7
Nuapada,NUAPADA,DHARAMBANDHA,DHARAMBANDHA,29
Nuapada,NUAPADA,JAMPANI,CHHINDPANI,76
Nuapada,NUAPADA,JAMPANI,CHICHIRIPANI,72
Nuapada,NUAPADA,JAMPANI,JAMPANI,18
Nuapada,NUAPADA,JAMPANI,TONGOPANI,10
Nuapada,NUAPADA,KENDUBAHARA,FARAFOUJA,7
Nuapada,NUAPADA,KENDUBAHARA,SIRIGIDI,51
Nuapada,NUAPADA,KERMELI,GOLABANDH,15
Nuapada,NUAPADA,KERMELI,KANKERMANJI,5
Nuapada,NUAPADA,KERMELI,KERMELI,15
Nuapada,NUAPADA,KERMELI,PATHIAPALI,39
Nuapada,NUAPADA,KOTENCHUAN,CHHERILENDI,7
Nuapada,NUAPADA,KOTENCHUAN,JAMUDARAHA,147
Nuapada,NUAPADA,KOTENCHUAN,KOTENCHUAN,2
Nuapada,NUAPADA,KOTENCHUAN,SIALATI,20
Nuapada,NUAPADA,KOTENCHUAN,SUNARITAL,2
Nuapada,NUAPADA,KULIABANDHA,BHANPUR,21
Nuapada,NUAPADA,KULIABANDHA,BHOTHA,28
Nuapada,NUAPADA,MOTA NUAPADA,KALAMIDADAR,19
Nuapada,NUAPADA,MOTA NUAPADA,KUKURIMUNDI,37
Nuapada,NUAPADA,MOTA NUAPADA,SETH JAMPANI,1
Nuapada,NUAPADA,SAHIPALA,KHAIRANI,38
Nuapada,NUAPADA,SAHIPALA,PIPALCHHENDI,6
Nuapada,NUAPADA,SAHIPALA,SAHIPALA,32
Nuapada,SINAPALI,BARGAON,BARGAON,14
Nuapada,SINAPALI,BHARUAMUNDA,GOVINDPUR,25
Nuapada,SINAPALI,GANDABAHALI,GANDABAHALI,6
Nuapada,SINAPALI,GHANTIGUDA,KARLAPANI,48
Nuapada,SINAPALI,GHATMAL,BADMULA,12
Nuapada,SINAPALI,GHATMAL,CHITARAMA,22
Nuapada,SINAPALI,GHATMAL,DUMERBAHAL,15
Nuapada,SINAPALI,GHATMAL,GADIAJORE,17
Nuapada,SINAPALI,GHATMAL,GENDULPANI,38
Nuapada,SINAPALI,GHATMAL,JAMABAHALI,8
Nuapada,SINAPALI,GHATMAL,JOGABHATA,55
Nuapada,SINAPALI,GHATMAL,KANETGHATAMAL,86
Nuapada,SINAPALI,GHATMAL,NUAKHALIA,14
Nuapada,SINAPALI,GHATMAL,PANDRIPANI,20
Nuapada,SINAPALI,GHATMAL,SINDURSIL,1
Nuapada,SINAPALI,GHATMAL,TALAKOT,127
Nuapada,SINAPALI,GHATMAL,TILEIPALNA,20
Nuapada,SINAPALI,GODAL,BRAHAMANPADA,31
Nuapada,SINAPALI,GORLA,KUSUMUKHUNTA,12
Nuapada,SINAPALI,GORLA,MAHESWAR,11
Nuapada,SINAPALI,JHARBANDHA,JHARBANDHA,23
Nuapada,SINAPALI,KENDUMUNDA,DHUNGIAMUNDA,16
