District,Block,Gram Panchayat,Village,Beneficiary_Count
Rayagada,B.CUTTACK,ANAJODI,ANAJODI,5
Rayagada,B.CUTTACK,B.CUTTACK,GADABAGUDA,8
Rayagada,B.CUTTACK,BADALIMA,BADALIMA,2
Rayagada,B.CUTTACK,BATIGUMA,BATIGUMA,78
Rayagada,B.CUTTACK,BETHIAPADA,BETHIAPADA,5
Rayagada,B.CUTTACK,BETHIAPADA,KARLAKONA,13
Rayagada,B.CUTTACK,BHAILAPADAR,BHAILAPADAR,3
Rayagada,B.CUTTACK,BHATPUR,BHATAPUR,73
Rayagada,B.CUTTACK,BHATPUR,KANEDI,30
Rayagada,B.CUTTACK,BHATPUR,PUTRUGUDA,3
Rayagada,B.CUTTACK,CHANCHADAGUDA,HURUGUDI,18
Rayagada,B.CUTTACK,CHANCHADAGUDA,SOURAGUDA,12
Rayagada,B.CUTTACK,CHANCHARAGUDA,BALAPAI,5
Rayagada,B.CUTTACK,CHANCHARAGUDA,BERADALIGUDA,5
Rayagada,B.CUTTACK,CHANCHARAGUDA,CHICHANGABARI,2
Rayagada,B.CUTTACK,CHANCHARAGUDA,HURUGUDI,5
Rayagada,B.CUTTACK,CHANCHARAGUDA,KINJAMJODI,22
Rayagada,B.CUTTACK,CHANCHARAGUDA,SANYASIGUDA,8
Rayagada,B.CUTTACK,CHANCHARAGUDA,SAURAGUDA,5
Rayagada,B.CUTTACK,CHATIKONA,GOTIGUDA,3
Rayagada,B.CUTTACK,CHATIKONA,KARNAGUDA,5
Rayagada,B.CUTTACK,CHATIKONA,PENDIPADAR,7
Rayagada,B.CUTTACK,CHATIKONA,PURUGUDA,8
Rayagada,B.CUTTACK,DUKUM,BADERPADAR,5
Rayagada,B.CUTTACK,DUKUM,BALAKUPA,2
Rayagada,B.CUTTACK,DUKUM,BANDICHUAN,9
Rayagada,B.CUTTACK,DUKUM,BERDANGPADAR,3
Rayagada,B.CUTTACK,DUKUM,BONDICHUAN,9
Rayagada,B.CUTTACK,DUKUM,JUGAPADAR,6
Rayagada,B.CUTTACK,DUKUM,LAKHABHATA,9
Rayagada,B.CUTTACK,DUKUM,LAKHABHATTA,3
Rayagada,B.CUTTACK,DUKUM,MARCHAPADI,15
Rayagada,B.CUTTACK,DUKUM,MARICHAPADU,35
Rayagada,B.CUTTACK,DUKUM,PINDA,28
Rayagada,B.CUTTACK,DUKUM,RUPAPADAR,5
Rayagada,B.CUTTACK,DUKUMO,BONDILI,2
Rayagada,B.CUTTACK,DUMURINELLI,CHELIANALA,1
Rayagada,B.CUTTACK,DURGI,BANDHUGUDA,2
Rayagada,B.CUTTACK,DURGI,CHENGILI,1
Rayagada,B.CUTTACK,DURGI,DHARMAGUDA,3
Rayagada,B.CUTTACK,DURGI,DHUABADI,6
Rayagada,B.CUTTACK,DURGI,HADAGUDA,3
Rayagada,B.CUTTACK,DURGI,HAJARIDANGA,9
Rayagada,B.CUTTACK,DURGI,KACHAPAI,4
Rayagada,B.CUTTACK,DURGI,KUDABHATTA,5
Rayagada,B.CUTTACK,DURGI,KUNAM PADAR,4
Rayagada,B.CUTTACK,DURGI,TALABARANGAPADAR,4
Rayagada,B.CUTTACK,GANDILI,GANDILI,52
Rayagada,B.CUTTACK,HAJA-RIDANG,BADAKIRIBIRI,7
Rayagada,B.CUTTACK,HAJA-RIDANG,RAMBU,11
Rayagada,B.CUTTACK,HATA MUNIGUDA,DUARGUDI,18
Rayagada,B.CUTTACK,HATAMUNIGUDA,DUARGUDI,23
Rayagada,B.CUTTACK,HATAMUNIGUDA,KADIGUMA,9
Rayagada,B.CUTTACK,HATAMUNIGUDA,PARAMAGUDA,7
Rayagada,B.CUTTACK,HATAMUNIGUDA,PENJA(TANDA),46
Rayagada,B.CUTTACK,HATOMUNIGUDA,GHANTIKHAL,25
Rayagada,B.CUTTACK,JHIGIDI,BALAKUPA,17
Rayagada,B.CUTTACK,JHIGIDI,DAMAKUPA,6
Rayagada,B.CUTTACK,JHIGIDI,DAMBAKUPA,17
Rayagada,B.CUTTACK,JHIGIDI,LELINKAPADAR,28
Rayagada,B.CUTTACK,JHIGIDI,MUNDIGUDA,12
Rayagada,B.CUTTACK,JHIGIDI,PANASAPADAR,19
Rayagada,B.CUTTACK,JHIGIDI,PENDIPADAR,1
Rayagada,B.CUTTACK,JHIGIDI,RATATIKIRI,11
Rayagada,B.CUTTACK,JHIGIDI,URLAJODI,3
Rayagada,B.CUTTACK,KANDHABALIJODI,KANDHABALIJODI,7
Rayagada,B.CUTTACK,KANKUBADI,BADA GOTIGUDA,3
Rayagada,B.CUTTACK,KANKUBADI,BANDAIGUDA,16
Rayagada,B.CUTTACK,KANKUBADI,DEGALBUDUNI,5
Rayagada,B.CUTTACK,KANKUBADI,GATIGUDA,12
Rayagada,B.CUTTACK,KANKUBADI,GATIGUDA (BADA),14
Rayagada,B.CUTTACK,KANKUBADI,GHASAPADU,3
Rayagada,B.CUTTACK,KANKUBADI,GOTIGUDA,29
Rayagada,B.CUTTACK,KANKUBADI,JABAGUDA,18
Rayagada,B.CUTTACK,KANKUBADI,KANKUBADI,13
Rayagada,B.CUTTACK,KANKUBADI,MANDAPAI,8
Rayagada,B.CUTTACK,KATRUPALI,KATRUPALI,2
Rayagada,B.CUTTACK,KAUGUDA,KAUGUDA,2
Rayagada,B.CUTTACK,KONABAI,BODOMERIDI,4
Rayagada,B.CUTTACK,KONABAI,KONABAI (TOTAGUDA),5
Rayagada,B.CUTTACK,KONABAI,LIBHIRIKONA,19
Rayagada,B.CUTTACK,KUNABANDILI,KUNABANDILI,6
Rayagada,B.CUTTACK,KURLI,ARISAKANI,10
Rayagada,B.CUTTACK,KURLI,BANDILI,43
Rayagada,B.CUTTACK,KURLI,BHATIGUMA,11
Rayagada,B.CUTTACK,KURLI,HINGABADI,24
Rayagada,B.CUTTACK,KURLI,HUNDAJALI,34
Rayagada,B.CUTTACK,KURLI,HUTESHI,23
Rayagada,B.CUTTACK,KURLI,JANGAJODI,5
Rayagada,B.CUTTACK,KURLI,JANGJODI,31
Rayagada,B.CUTTACK,KURLI,KADRAGUMA,32
Rayagada,B.CUTTACK,KURLI,KHAJURI,116
Rayagada,B.CUTTACK,KURLI,KHAMBESI,128
Rayagada,B.CUTTACK,KURLI,KUDBELIPADAR,7
Rayagada,B.CUTTACK,KURLI,KURLI,37
Rayagada,B.CUTTACK,KURLI,LAHUNIKHUNTE,8
Rayagada,B.CUTTACK,KURLI,MUNDABALLI,35
Rayagada,B.CUTTACK,KURLI,PATALAMBA,20
Rayagada,B.CUTTACK,KURLI,RADANGA,26
Rayagada,B.CUTTACK,KURLI,RADANGI,16
Rayagada,B.CUTTACK,KURLI,SAGADI,14
