District,Block,Gram Panchayat,Village,Beneficiary_Count
Sambalpur,BAMRA,BABUNIKTIMAL,BABUNIKTIMAL,37
Sambalpur,BAMRA,BABUNIKTIMAL,BADIJOR,6
Sambalpur,BAMRA,BABUNIKTIMAL,BADIJOR R/F,5
Sambalpur,BAMRA,BABUNIKTIMAL,BARAKHANDIA,42
Sambalpur,BAMRA,BABUNIKTIMAL,BELMUNDA,13
Sambalpur,BAMRA,BABUNIKTIMAL,BELMUNDA (REM),5
Sambalpur,BAMRA,BABUNIKTIMAL,CHARBHAYA,11
Sambalpur,BAMRA,BABUNIKTIMAL,DAITARIPALI,16
Sambalpur,BAMRA,BABUNIKTIMAL,DUKHUJHARMUNDA,25
Sambalpur,BAMRA,BABUNIKTIMAL,JURABAHAL,18
Sambalpur,BAMRA,BABUNIKTIMAL,KANDHABALANDA,35
Sambalpur,BAMRA,BABUNIKTIMAL,LANGABAHAL,15
Sambalpur,BAMRA,BABUNIKTIMAL,MAHAPATRABALANDA,4
Sambalpur,BAMRA,BABUNIKTIMAL,RENGALKHANDI,16
Sambalpur,BAMRA,BABUNIKTIMAL,SUKHAPADAN,14
Sambalpur,BAMRA,BABUNIKTIMAL,SUKHAPADAN R/F,7
Sambalpur,BAMRA,BAUNSLAGA,BADAPADA,4
Sambalpur,BAMRA,BAUNSLAGA,BADAPADA (REM) R/F,6
Sambalpur,BAMRA,BAUNSLAGA,BAMPHEI,21
Sambalpur,BAMRA,BAUNSLAGA,BAUNSLAGA,14
Sambalpur,BAMRA,BAUNSLAGA,BILEIGHATI,37
Sambalpur,BAMRA,BAUNSLAGA,GURLA,14
Sambalpur,BAMRA,BAUNSLAGA,GURLA (REM),3
Sambalpur,BAMRA,BAUNSLAGA,NUNIAMUNDA,3
Sambalpur,BAMRA,GARPOSH,BADFIRINGIBAHAL,20
Sambalpur,BAMRA,GARPOSH,GARPOSH,12
Sambalpur,BAMRA,GARPOSH,GHANSARA,3
Sambalpur,BAMRA,GARPOSH,MAHULMUNDA,11
Sambalpur,BAMRA,GARPOSH,SANDUMERMUNDA,11
Sambalpur,BAMRA,GOBINDAPUR,BADDUMERMUNDA (REM),1
Sambalpur,BAMRA,GOBINDAPUR,HARIPADA,15
Sambalpur,BAMRA,GOBINDAPUR,MITUPADA,3
Sambalpur,BAMRA,GOBINDPUR,BADDUMERMUNDA,5
Sambalpur,BAMRA,GOBINDPUR,GOBINDPUR,18
Sambalpur,BAMRA,JARABAGA,BETHJHARAN (REM),2
Sambalpur,BAMRA,JARABAGA,BETJHARAN,29
Sambalpur,BAMRA,JARABAGA,BETJHARAN (REM),3
Sambalpur,BAMRA,JARABAGA,BILUNG,42
Sambalpur,BAMRA,JARABAGA,DANGAKHUNTI,10
Sambalpur,BAMRA,JARABAGA,DUMUKU,58
Sambalpur,BAMRA,JARABAGA,JARABAGA,74
Sambalpur,BAMRA,JARABAGA,KANDHAKULEI,5
Sambalpur,BAMRA,JARABAGA,KARLIADIHI,22
Sambalpur,BAMRA,JARABAGA,KARLIADIHI 2ND,16
Sambalpur,BAMRA,JARABAGA,KINABAGA,4
Sambalpur,BAMRA,JARABAGA,KUNTARABAHAL,44
Sambalpur,BAMRA,JARABAGA,LAPADA,15
Sambalpur,BAMRA,JARABAGA,LAPADA (REM ),1
Sambalpur,BAMRA,JARABAGA,SARGIDIHI,64
Sambalpur,BAMRA,JARABAGA,UTTARGAON,10
Sambalpur,BAMRA,KABARIBAHAL,BALADMAL,38
Sambalpur,BAMRA,KABARIBAHAL,BANDHAKANI,58
Sambalpur,BAMRA,KABARIBAHAL,KABARIBAHAL,60
Sambalpur,BAMRA,KABARIBAHAL,PANPOSH,2
Sambalpur,BAMRA,KESAIBAHAL,BHIKAPALI,27
Sambalpur,BAMRA,KESAIBAHAL,BRAHMANIMUNDA,16
Sambalpur,BAMRA,KESAIBAHAL,DANGAJOR,112
Sambalpur,BAMRA,KESAIBAHAL,KESAIBAHAL,116
Sambalpur,BAMRA,KESAIBAHAL,MUNDAKATA,55
Sambalpur,BAMRA,KESAIBAHAL,P. NIKTIMAL,67
Sambalpur,BAMRA,KESAIBAHAL,PARIMUNDA,74
Sambalpur,BAMRA,KESAIBAHAL,SALOHI,44
Sambalpur,BAMRA,KESAIBAHAL,SOLBAGA,89
Sambalpur,BAMRA,KINABAGA,BIHABALI,62
Sambalpur,BAMRA,KINABAGA,DALKIBAHAL,7
Sambalpur,BAMRA,KINABAGA,DANGAJOR,16
Sambalpur,BAMRA,KINABAGA,KHAMBAGADA,6
Sambalpur,BAMRA,KINABAGA,KINABAGA,49
Sambalpur,BAMRA,KINABAGA,KOLHABAHAL,15
Sambalpur,BAMRA,KUTARIMAL,BURBUDA,20
Sambalpur,BAMRA,KUTARIMAL,GHUMUNDUMAL,6
Sambalpur,BAMRA,KUTARIMAL,JOGIMUNDA,13
Sambalpur,BAMRA,KUTARIMAL,LOLOBIRA,31
Sambalpur,BAMRA,KUTARIMAL,MARHAPADA,1
Sambalpur,BAMRA,KUTARIMAL,RAGHUNATHPALI,10
Sambalpur,BAMRA,KUTARIMAL,SANFIRINGIBAHAL,30
Sambalpur,BAMRA,KUTARIMAL,TATARANGA,2
Sambalpur,BAMRA,LARIAPALI,BADKHALIA,37
Sambalpur,BAMRA,LARIAPALI,GAILJHAMPA,48
Sambalpur,BAMRA,LARIAPALI,GHUGHAR,5
Sambalpur,BAMRA,LARIAPALI,GHUGHAR (REM),4
Sambalpur,BAMRA,LARIAPALI,KHOLBILUNG,15
Sambalpur,BAMRA,LARIAPALI,KULADERA,27
Sambalpur,BAMRA,LARIAPALI,LARIAPALI,56
Sambalpur,BAMRA,LARIAPALI,NUADIHI,116
Sambalpur,BAMRA,LARIAPALI,NUADIHI(REM),5
Sambalpur,BAMRA,LARIAPALI,RENGALBEDA,22
Sambalpur,BAMRA,LARIAPALI,RENGALBEDA (REM),8
Sambalpur,BAMRA,LARIAPALI,SAGARPALI,30
Sambalpur,BAMRA,LARIAPALI,SANDUMERMUNDA,18
Sambalpur,BAMRA,MAHULPALI,CHHATABAR,1
Sambalpur,BAMRA,MAHULPALI,CHHATIPOSH,6
Sambalpur,BAMRA,MAHULPALI,CHHATIPOSH (REM),3
Sambalpur,BAMRA,MAHULPALI,JHAGADATIRIA,27
Sambalpur,BAMRA,MAHULPALI,LANGPOSH,37
Sambalpur,BAMRA,MAHULPALI,RAJBANDH,15
Sambalpur,BAMRA,MAHULPALI,TALSARA,9
Sambalpur,BAMRA,MAHULPALI,TANGARPALI,28
Sambalpur,BAMRA,PINDHAPATHAR,BELAPADA,3
Sambalpur,BAMRA,PINDHAPATHAR,MAHULCHAPAL,18
Sambalpur,BAMRA,PINDHAPATHAR,PARMANPUR,56
Sambalpur,BAMRA,PINDHAPATHAR,PARMANPUR REM,11
Sambalpur,BAMRA,PINDHAPATHAR,PINDHAPATHAR,105
Sambalpur,BAMRA,PINDHAPATHAR,PINDHAPATHAR 2ND,4
Sambalpur,BAMRA,PINDHAPATHAR,TITRIPOSI,18
Sambalpur,BAMRA,RABGA,DAHAMUNDA,24
Sambalpur,BAMRA,RABGA,JURAPALI,16
Sambalpur,BAMRA,RABGA,KADALIJHARAN,11
Sambalpur,BAMRA,RABGA,KICHINDA,11
Sambalpur,BAMRA,RABGA,NUAPALI,19
Sambalpur,BAMRA,RABGA,RABGA,10
Sambalpur,BAMRA,RABGA,RABGA (REM),3
Sambalpur,BAMRA,RABGA,SIMILIBAHAL,13
Sambalpur,BAMRA,RABGA,SIMILIBAHAL (REM),3
Sambalpur,BAMRA,RABGA,SUNAMUNDA,3
Sambalpur,BAMRA,RANGIATIKIRA,KAHAPANI,3
Sambalpur,BAMRA,RANGIATIKIRA,RAJABASA (REM),3
Sambalpur,BAMRA,RANGIATIKIRA,RANGIATIKIRA,25
Sambalpur,BAMRA,RANGIATIKIRA,RENGAPADA,43
Sambalpur,BAMRA,RANGIATIKRA,CHARICHUAN,12
Sambalpur,BAMRA,RANGIATIKRA,GARDEGA,20
Sambalpur,BAMRA,RANGIATIKRA,GHUNGHUTI,61
Sambalpur,BAMRA,RANGIATIKRA,JUNANI,13
Sambalpur,BAMRA,RANGIATIKRA,RAJABASA,15
Sambalpur,BAMRA,RANGIATIKRA,SADHAPADA,8
Sambalpur,BAMRA,SAGARA,FATATANGAR,63
Sambalpur,BAMRA,SAGARA,FATATANGAR (REM),1
Sambalpur,BAMRA,SAGARA,JURAJAM,2
Sambalpur,BAMRA,SAGARA,LUHURANIBERNI,11
Sambalpur,BAMRA,SAGARA,LUHURANIBERNI (2ND),6
Sambalpur,BAMRA,SAGARA,LUHURANIBERNI (REM),3
Sambalpur,BAMRA,SAGARA,MUNDALASA,13
Sambalpur,BAMRA,SAGARA,SAGARA,7
Sambalpur,BAMRA,TUREI,AINLADHIPA,10
Sambalpur,BAMRA,TUREI,BALITUREI,42
Sambalpur,BAMRA,TUREI,DAMAMUNDA,47
Sambalpur,BAMRA,TUREI,KURMULOI,24
Sambalpur,BAMRA,TUREI,MANDIAPURA,17
Sambalpur,BAMRA,TUREI,TALBAHALI,11
Sambalpur,BAMRA,TUREI,TUREI,47
Sambalpur,BAMRA,UCCHAKAPAT,BHAGAPADA,12
Sambalpur,BAMRA,UCHAKAPAT,KECHHUPANI,30
Sambalpur,BAMRA,UCHHAKAPAT,( TANGARMUNDA ) UCHHAKAPAT ( TANGARMUNDA ),3
Sambalpur,BAMRA,UCHHAKAPAT,KECHHUPANI (REM),3
Sambalpur,BAMRA,UCHHAKAPAT,U( TCAHNHGAAKRAMPAUTNDA ),23
Sambalpur,BAMRA,UCHHAKAPAT,UCHAKAPAT,15
Sambalpur,BAMRA,UCHHAKAPAT,UCHHAKAPAT,4
Sambalpur,BAMRA,UCHKAPAT,KECHHUPANI (REM),11
Sambalpur,DHANKAUDA,DHANKAUDA,CHOUNRPUR,12
Sambalpur,JAMANKIRA,BADMAL,BADMAL,27
Sambalpur,JAMANKIRA,BADMAL,BADMAL (REM ),4
Sambalpur,JAMANKIRA,BADMAL,BANJARI,27
Sambalpur,JAMANKIRA,BADMAL,BANJARI R/F,41
Sambalpur,JAMANKIRA,BADMAL,CHANDIPOSH,12
Sambalpur,JAMANKIRA,BADMAL,CHANDIPOSHI (REM ),4
Sambalpur,JAMANKIRA,BADMAL,GANGHOSA,14
Sambalpur,JAMANKIRA,BADMAL,KOLHAPAL,11
Sambalpur,JAMANKIRA,BADMAL,NUADIHI,10
Sambalpur,JAMANKIRA,BADMAL,NUADIHI (REM),2
Sambalpur,JAMANKIRA,BADMAL,SUDBALANDA,25
Sambalpur,JAMANKIRA,BADMAL,TANGARANI,18
Sambalpur,JAMANKIRA,BADRAMA,AMLANG,35
Sambalpur,JAMANKIRA,BADRAMA,BADRAMA,6
Sambalpur,JAMANKIRA,BADRAMA,BANDHABHUIN,74
Sambalpur,JAMANKIRA,BADRAMA,BISWALPALI,10
Sambalpur,JAMANKIRA,BADRAMA,CHEPTAAMBA,29
Sambalpur,JAMANKIRA,BADRAMA,CHINIMAHUL,22
Sambalpur,JAMANKIRA,BADRAMA,CHIRGUNIKHOL,17
Sambalpur,JAMANKIRA,BADRAMA,DUMERMUNDA,10
Sambalpur,JAMANKIRA,BADRAMA,GUNTAB,18
Sambalpur,JAMANKIRA,BADRAMA,KHARMUNDA,34
Sambalpur,JAMANKIRA,BADRAMA,KUTAB,6
Sambalpur,JAMANKIRA,BADRAMA,ODISING,34
Sambalpur,JAMANKIRA,BADRAMA,RENGUMUNDA,15
Sambalpur,JAMANKIRA,BADRAMA,SANBADIBAHAL,6
Sambalpur,JAMANKIRA,BADRAMA,TANSARA,21
Sambalpur,JAMANKIRA,BADRAMA,TILEIMAL,13
Sambalpur,JAMANKIRA,BHOJPUR,ALARKHOL,2
Sambalpur,JAMANKIRA,BHOJPUR,BHOJPUR,7
Sambalpur,JAMANKIRA,BHOJPUR,GUDRAPADA,19
