District,Block,Gram Panchayat,Village,Beneficiary_Count
Subarnapur,BIRMAHARAJPUR,BAHALPADAR,SARDHAPALI,45
Subarnapur,BIRMAHARAJPUR,DURJANTAILA,BRAMHANIPALI,3
Subarnapur,BIRMAHARAJPUR,DURJANTAILA,DURJANTAILA,25
Subarnapur,BIRMAHARAJPUR,DURJANTAILA,DURJANTAILA (MAKHAN KHAI),16
Subarnapur,BIRMAHARAJPUR,DURJANTAILA,KUNJAPALI,17
Subarnapur,BIRMAHARAJPUR,DURJANTAILA,MASINAPALI,17
Subarnapur,BIRMAHARAJPUR,DURJANTAILA,MASINAPALI J,3
Subarnapur,BIRMAHARAJPUR,PITAMAHUL,DURDURA,15
Subarnapur,BIRMAHARAJPUR,PITAMAHUL,THAKURPUR,7
Subarnapur,DUNGURIPALI,LINGMARNI,LUDKIBEDA,2
Subarnapur,SONEPUR,CHAHATAKHOL,CHAHATAKHOL,1
Subarnapur,SONEPUR,CHHAHATAKHOL,CHHAHATAKHOL,3
Subarnapur,SONEPUR,CHHAKURMAL,BADIPADIA,7
Subarnapur,SONEPUR,CHHAKURMAL,CHHAKURMAL,1
Subarnapur,SONEPUR,KALAPATHAR,DAHAJA,4
Subarnapur,SONEPUR,RENGALI,KUDADERA,18
Subarnapur,SONEPUR,RENGALI,RENGALI,39
Subarnapur,TARABHA,CHARBHATA,DANGAJORE,5
Subarnapur,TARABHA,CHARBHATA,KULTHIAPADAR,6
Subarnapur,ULLUNDA,JANURABHANURA,HATI PAHUL,3
Subarnapur,ULLUNDA,JANURABHANURA,PARDIAPALI,20
Subarnapur,ULLUNDA,JANURABHANURA,SULIA,26
Subarnapur,ULLUNDA,JOURABHANRA,BRAHAMANIPALI,17
Subarnapur,ULLUNDA,JOURABHANRA,GUJA,19
Subarnapur,ULLUNDA,JOURABHANRA,KHARAPURA,11
Subarnapur,ULLUNDA,JOURABHANRA,KRUSHNAPALLI,31
Subarnapur,ULLUNDA,JOURABHANRA,SULIA,2
Subarnapur,ULLUNDA,S PATRAPALI,DENGURDAR,2
Subarnapur,ULLUNDA,S PATRAPALI,GINDLAMAL,11
Subarnapur,ULLUNDA,S PATRAPALI,KUSUMPAL,3
