Block,Gram Panchayat,Village,Beneficiary_Count
BANGIRPOSI,Banakati,Kantapal,7
BANGIRPOSI,Banakati,Sagunasole,2
BANGIRPOSI,Banakati,Sarasaposi,3
BANGIRPOSI,Banakati,Satbhaya,21
BANGIRPOSI,Nishchinta,Bholagadia,7
BANGIRPOSI,Nishchinta,Sundhisahi,8
BANGIRPOSI,Sorishapal,Kusmatota,8
BANGRIPOSI,Banakati,Dahisahi,1
BANGRIPOSI,Banakati,Satbhaya,2
BANGRIPOSI,Nishchinta,Gohirapal,1
BANGRIPOSI,Nishchinta,Nishchinta,1
BANGRIPOSI,Sorishapal,Alhapani,11
BANGRIPOSI,Sorishapal,Baunspahadi,4
BANGRIPOSI,Sorishapal,Kukurbhuka,3
BANGRIPOSI,Sorishapal,Palasbani,14
BARIPADA,Rajabasa,Gobardhansole,54
Badasahi,Chelia,Mankadkenda,2
Badasahi,Chelia,Tirpada,5
Badasahi,Deulia,Deulia,5
Badasahi,Deulia,Purunapani,9
Badasahi,Jadunathpur,Hinjalgadia,1
Badasahi,Jarkani,Jamsole,1
Badasahi,Kochilakhunta,Ghusuria,42
Badasahi,Kochilakhunta,Junapada,44
Badasahi,Kuchilakhunta,Kuchilakhunta,9
Badasahi,"Managobinda
pur",Dhanapal,5
Badasahi,Paunsia,Jaganathpur,34
Badasahi,Paunsia,Paunsia,23
Badasahi,Paunsia,Rajgarh,62
Badasahi,Salagan,Salagan,30
Badasahi,Sankerko,Badkerko,12
Badasahi,Sankerko,Kadaliasole,6
Badasahi,Sankerko,Kandaliasole,5
Badasahi,Sankerko,Krupasindhupur,1
Badasahi,Sankerko,Tikayatpur,3
Badasahi,Sankerko,Tungasole,1
Badasahi,Sialghati,Kauchi,41
Badasahi,Sialighati,Banatalapada,68
Badasahi,Sialighati,Banatalapada D,1
Badasahi,Sialighati,Budheirana,11
Badasahi,Sialighati,Budheirana S,1
Badasahi,Sialighaty,Sialighaty,64
Badasahi,Tungasole,Badsorisbila,6
Badsahi,Badsahi,Badsahi,34
Badsahi,Balabhadrapur,Chelia B,5
Badsahi,Balabhadrapur,Chhelia B,1
Badsahi,Bhimda,Ratanpur,28
Badsahi,Bireswappur,"Belpal Samil
Purunapani",5
Badsahi,Bireswapur,"Belpal Samil
Purunapani",137
Badsahi,Bireswarpur,Belpal-Samil-Purunapani,33
Badsahi,Durgapur,Asukanda,24
Badsahi,Durgapur,Gandhali,14
Badsahi,Durgapur,Gobarasole,16
Badsahi,Durgapur,Purunapani,20
Badsahi,Gudialbandha,Gudialbandha,15
Badsahi,Jadunathpur,Chandanchaturi,24
Badsahi,Jadunathpur,Jadunathpur,48
Badsahi,Jarkani,Baguli,2
Badsahi,Jarkani,Gudakanthi,12
Badsahi,Jarkani,Jalghera,18
Badsahi,Jarkani,Jamsuli,32
Badsahi,Jarkani,Jarkani,8
Badsahi,Juginuagan,Pathara,53
Badsahi,Kendudiha,Chakradharpur,18
Badsahi,Kendudiha,Nishchintapura,24
Badsahi,Khadiasole,Dumapada,9
Badsahi,Kochila Khunta,Baguli,50
Badsahi,Madhapur,Dhanapota,12
Badsahi,Mangovindpur,Jodida,1
Badsahi,Nuapal,Astajharan,121
Badsahi,Patisari,Beguniabari,26
Badsahi,Patisari,Jamunadeipur,33
Badsahi,Patisari,Patisari,27
Badsahi,Paunsia,Bhandarikala,7
Badsahi,Pratapur,Haripur,27
Badsahi,Punasia,Gidhinisole,6
Badsahi,"Purna Chandra
Pur",Naranapur,16
Badsahi,"Purna Chandra
Pur",Sansarishabhila,1
Badsahi,Purnachandrapur,"Goudadiha
Samil Komalasole",29
Badsahi,Purnachandrapur,Madhupur,24
Badsahi,Purnachandrapur,Purnachandrapur,35
Badsahi,Purnnachandrapur,"Goudadiha
Samil Komalasole",2
Badsahi,Purnnachandrapur,Purnnachandrapur,1
Badsahi,Sankeroka,Jadipal,16
Badsahi,Shalgan,Gambharia,17
Badsahi,Sialghati,Dinabandhupur,75
Badsahi,Suhagpur,Gouda munduli,2
Badsahi,Suhagpur,Goudamundul,8
Badsahi,Suhagpur,Guabehera,9
Bahalada,JASHIPUR,Bhaleidihi,2
Bahalada,SOSO,Soso,2
Bahalda,Anlajodi,Jamubani,11
Bahalda,Asana,Asana,15
Bahalda,Asana,Bhalugoda,1
Bahalda,Asana,Sagadbhanga,18
Bahalda,Bad-Palsa,Bad-Palsa,16
Bahalda,Bad-Palsa,Burupalsa,2
Bahalda,Bad-Palsa,Potua,2
Bahalda,Badadalima,Dalajodi,4
Bahalda,Badadalima,Mankididihi,2
Bahalda,Badpalasa,Kendua,13
Bahalda,Badpalasa,Patambeda,11
Bahalda,Bahalda,Bahalda,1
Bahalda,Basingi,Basingi,12
Bahalda,Basingi,Tentla,9
Bahalda,Bhitaramada,Dalsara,51
Bahalda,GIDIGHATY,Chadri,10
Bahalda,GIDIGHATY,Chirkuniposi,2
Bahalda,GIDIGHATY,Gayalkata,9
Bahalda,GIDIGHATY,Gidighaty,3
Bahalda,GIDIGHATY,Mahulduma,7
Bahalda,GIDIGHATY,Tarana,10
Bahalda,Gambharia,Bamanbose,2
Bahalda,Gambharia,Bargidihi,4
Bahalda,Gambharia,Bhaludihi,14
Bahalda,Gambharia,Bhurusa,3
Bahalda,Gambharia,Brahmanbose,8
Bahalda,Gambharia,Dumadihi,5
Bahalda,Gambharia,Jaganathpur,27
Bahalda,Gambharia,Kaduani,2
Bahalda,Gambharia,Kantasola,9
Bahalda,Gambharia,Khandabandh,2
Bahalda,Gambharia,Saraspada,1
Bahalda,Gidhighaty,Patramohulpani,1
Bahalda,Gidighaty,Gidighaty,3
Bahalda,Jashipur,Dubulabed,8
Bahalda,Jashipur,Jashipur,4
Bahalda,Jashipur,Nanadabasa,4
Bahalda,Jashipur,Rangamatia,29
Bahalda,Jashipur,Sandalima,2
Bahalda,Jashipur,Sapaghera,13
Bahalda,Jashipur,Suruda,10
Bahalda,Kanki,Bagdega,5
Bahalda,Kanki,Binjua,5
Bahalda,Kanki,Indkholi,7
Bahalda,Kanki,Kanki,26
Bahalda,SOSO,Kulgi,5
Bahalda,SOSO,Soso,4
Bahalda,Soso,Kumbhirda,12
Bahalda,Soso,Pahadpur,1
Bahalda`,Gambharia,Kantasola,2
Bangiriposi,Badagan,Badagan,1
Bangiriposi,Badagaon,Badagaon,79
Bangiriposi,Badagaon,Kantasole,56
Bangiriposi,Badagaon,Kundalabani,59
Bangiriposi,Badagaon,Panasdiha,60
Bangiriposi,Badagaon,Sunaposi,25
Bangiriposi,Badgaon,Juha,7
Bangiriposi,Badgaon,Kripaduma,33
Bangiriposi,Badgaon,Kundalbani,8
Bangiriposi,Badgaon,kantasola,20
Bangiriposi,Banakati,Banakati,17
Bangiriposi,Banakati,Jamdapal,9
Bangiriposi,Banakati,Kantapal,14
Bangiriposi,Banakati,Satbhaya,12
Bangiriposi,Bangiriposi,Hanada,3
Bangiriposi,Bangiriposi,Majhigaon,14
Bangiriposi,Bhuasuni,Chakdar,23
Bangiriposi,Bhuasuni,Kalapathara,1
Bangiriposi,Bhuasuni,Kandalia,68
Bangiriposi,Bhuasuni,Matikhani,33
Bangiriposi,Bhuasuni,Pandubadi,18
Bangiriposi,Bhuasuni,Purunapani,82
Bangiriposi,Bhuasuni,Ramaharipur,7
Bangiriposi,Bhuasuni,Ranya,9
Bangiriposi,Bhuasuni,Tila,42
Bangiriposi,Brahamangan,Baliadhipa,2
Bangiriposi,Brahamangan,Beguniabandh,1
Bangiriposi,Brahamangan,Brahamangan,2
Bangiriposi,Brahamangan,Chandbil,10
Bangiriposi,Brahamangan,Dantiakacha,3
Bangiriposi,Brahamangan,Ghatakuanri,3
Bangiriposi,Brahamangan,Hatibari,6
Bangiriposi,Brahamangan,Rengalbeda,1
Bangiriposi,Brahmanamara,Chorabandha,24
Bangiriposi,Brahmangaon,Bahutia,16
Bangiriposi,Brahmangaon,Baskitala,8
Bangiriposi,Brahmangaon,Bhagirathipur,5
Bangiriposi,Brahmangaon,Chandbila,5
Bangiriposi,Brahmangaon,Domuhani,14
Bangiriposi,Brahmangaon,Kumbhiramundi,3
Bangiriposi,Brahmangaon,Saharabadi,4
Bangiriposi,Brahmangaon,Shalaghati,26
Bangiriposi,Bramhangaon,Salghaty,30
Bangiriposi,Budhikhamari,Chakdar,23
Bangiriposi,Budhikhamari,Gothanida,25
Bangiriposi,Budhikhamari,Masinabila,48
Bangiriposi,Budhikhamari,Udali,26
Bangiriposi,Chandanpur,Aktapal,6
Bangiriposi,Chandanpur,Bahadurpur,10
Bangiriposi,Chandanpur,Bedhakudar,6
Bangiriposi,Chandanpur,Jogibandh,12
Bangiriposi,Dhobanisole,Balikhani,1
Bangiriposi,Dhobanisole,Dhobanisole,79
Bangiriposi,Dhobanisole,Godargadi,47
Bangiriposi,Dhobanisole,Mahupahadi,32
Bangiriposi,Dhobanisole,Ranasole,4
Bangiriposi,Dhobanisole,Taltikiri,13
Bangiriposi,Dighi,Nitei,32
Bangiriposi,K.M Kata,Begunadiha,34
Bangiriposi,Kalabadia,Brahamangan,12
Bangiriposi,Kalabadia,Kalabadia,6
Bangiriposi,Kalabadia,Panasadiha,11
Bangiriposi,"Kumbhara
mundakata",Gahmapur,13
Bangiriposi,"Kumbhara
mundakata",Gahnapur,1
Bangiriposi,"Kumbhara
mundakata","Kumbhara
mundakata",103
Bangiriposi,Kumbhara Mundakata,Kumbhara Mundakata,101
Bangiriposi,Kumbhara Mundakata,KumbharaMundakata,1
Bangiriposi,Kumbharmundhakata,Gamhapur,28
Bangiriposi,Kumbharmundhakata,Mundhabani,2
Bangiriposi,Kusumbandh,Kurkutia,11
Bangiriposi,Kusumbandh,Kusumbandh,11
Bangiriposi,Nafri,Nafri,28
Bangiriposi,Nischinta,Chuapani,5
Bangiriposi,Nischinta,Dasisole,44
Bangiriposi,Nischinta,Nischinta,11
Bangiriposi,Nischinta,Pindara Godia,16
Bangiriposi,Nischinta,Sirasahi,10
Bangiriposi,Sarisapal,Amdapani,13
Bangiriposi,Sarisapal,Badanedam,25
Bangiriposi,Sarisapal,Betajharana,15
Bangiriposi,Sarisapal,Kanchinda,1
Bangiriposi,Sarisapal,Laxmiposi,12
Bangiriposi,Sarisapal,Rangamatia,35
Bangiriposi,Sarisapal,San Nedam,6
Bangiriposi,Sarisapal,Sarisapal,16
Bangiriposi,Shyamsundarpur,Talbhadrasole,21
Bangiriposi,Sorisapal,Jamtalia,9
Bangiriposi,Sorispal,Betajharan,24
Bangiriposi,Sorispal,Bhaduakacha,8
Bangiriposi,Sorispal,Jerkani,9
Bangiriposi,Sorispal,Kukurbhuka,17
Bangiriposi,Sorispal,Phuljhara,30
Bangiriposi,Sorispal,Purunapani,3
Bangiriposi,Sorispal,Rangamatia,6
Bangiriposi,Sorispal,Sorispal,15
Bangirirposi,Sarishapal,Kusumatota,7
Bangriposi,Badagan,Badagan,1
Bangriposi,Badgan,Badagan,24
Bangriposi,Badgan,Badgan,39
Bangriposi,Badgan,Gendapokhari,28
Bangriposi,Badgan,Juha,20
Bangriposi,Badgan,Kantasola,1
Bangriposi,Badgan,Kripaduma,13
Bangriposi,Badgan,Panasdiha,34
Bangriposi,Badgan,Sadheikala,27
Bangriposi,Badgan,Tangiabasa,21
Bangriposi,Banakati,Sarasposi,11
Bangriposi,Bangriposi,Hanada,1
Bangriposi,Bangriposi,Handa,28
Bangriposi,Bangriposi,Silpunji,21
Bangriposi,Bankati,Asua,20
Bangriposi,Bankati,Satbhaya,13
Bangriposi,Bhagabandh,Kusumbandh,1
Bangriposi,Bhuasuni,Bhuasuni,74
Bangriposi,Bhuasuni,Dhobanijoda,10
Bangriposi,Bhuasuni,Gopalpur,19
Bangriposi,Bhuasuni,Kalapathar,17
Bangriposi,Bhuasuni,Purusotam pur,1
Bangriposi,Bhuasuni,Purusotampur,30
Bangriposi,Brahmangan,Brahmangan,2
Bangriposi,Brahmangan,Charabandh,8
Bangriposi,Brahmangan,Ghatkuanri,7
Bangriposi,Budhikhamari,Badamtalia,10
Bangriposi,Budhikhamari,Gothanida,10
Bangriposi,Budhikhamari,Jaldiha,9
Bangriposi,Budhikhamari,Joka,9
Bangriposi,Budhikhamari,Khadikasole,8
Bangriposi,Budhikhamari,Majhigan,9
Bangriposi,Budhikhamari,Udali,10
Bangriposi,Chandanpur,Chandanpur,1
Bangriposi,Chandanpur,Ramch.pur,1
Bangriposi,Dhabanisole,Balikhani,23
Bangriposi,Dhabanisole,Ranasole,13
Bangriposi,Dhobanisole,Balikhani,55
Bangriposi,Dhobanisole,Gandipani,5
Bangriposi,Dhobanisole,Patbedha,10
Bangriposi,Dighi,Dighi,25
Bangriposi,Dighi,Dorkantia,55
Bangriposi,Dighi,Mundhakata,17
Bangriposi,Kalabadia,Balimunduli,9
Bangriposi,Kalabadia,Brahmangan,37
Bangriposi,Kalabadia,Brahmangoan,10
Bangriposi,Kalabadia,Jaganathkhunta,25
Bangriposi,Kalabadia,Jaganathpur,22
Bangriposi,Kalabadia,Kalabadia,22
Bangriposi,Kalabadia,Mahulisole,6
Bangriposi,Kalabadia,Panasdiha,16
Bangriposi,Kalabadia,Sitaldaha,4
Bangriposi,Kalbadia,Kalabadia,1
Bangriposi,Kumbharmundhakata,Gamhapur,16
Bangriposi,Kusumbandh,Asansikhar,27
Bangriposi,Kusumbandh,Gopalpur,2
Bangriposi,Kusumbandh,Hinjili,19
Bangriposi,Kusumbandh,Kusumbandh,30
Bangriposi,Kusumbandh,Tulasibani,1
Bangriposi,Nischinta,Chuapani,8
Bangriposi,Nischinta,Sanpatharkham,16
Bangriposi,Nischinta,Sirasahi,27
Bangriposi,Sarisapal,Baunshapahadi,13
Bangriposi,Sarisapal,Dhobanijoda,9
Bangriposi,Shyamsundarpur,Bhulanpur,4
Bangriposi,Shyamsundarpur,Chadheipahadi,12
Bangriposi,Shyamsundarpur,Chaulaghei,1
Bangriposi,Shyamsundarpur,Chaulagheri,6
Bangriposi,Shyamsundarpur,Jualikata,14
Bangriposi,Shyamsundarpur,Nuagan,7
Bangriposi,Shyamsundarpur,Sialijodi,9
Bangriposi,Shyamsundarpur,Uparbhadrasole,6
Bangriposi,Shymsundarpur,Uparbhadrasole,1
Bangriposi,Sorisapal,Purunapani,13
Bangriposi,Sorishapal,Amdapani,9
Bangriposi,Sorishapal,Khadighati,5
Bangriposi,Sorishapal,Khadighaty,1
Bangriposi,Sorishapal,Khadipahadi,3
Bangriposi,Sorishapal,Kusumtota,12
Bangriposi,Sorishpal,Barubeda,13
Bangriposi,Sorishpal,Chakidi,12
Bangriposi,Sorishpal,Ghatiduba,20
Bangriposi,Sorishpal,Jerkani,1
Bangriposi,Sorishpal,Kukurbhuka,1
Bangripsoi,Kumbharmundhakata,Gamhapur,12
Bangripsoi,Sorishapal,Amdapani,18
Baripada,Badajod,Badajod,6
Baripada,Badjod,Badjod,122
Baripada,Bankisole,Badabila,32
Baripada,Bankisole,"Badabrahman
mara",15
Baripada,Bankisole,Bankisole,64
Baripada,Bankisole,Sanbrahmanmara,23
Baripada,Bankisole,Tentulisole,50
Baripada,Betna,Betna,47
Baripada,Betna,Damdorpur,227
Baripada,Bhagabanpur,Machakandana,10
Baripada,Bhagabatachandra,Urachandabila,8
Baripada,Bhagabatch.pur,Jaganathpur,7
Baripada,Bhagabatchandrapur,Dhansole,27
Baripada,Bhagabatchpur,Bhagabat Ch.pur,49
Baripada,"Budhikha
mari","Ahari ""କ""",11
Baripada,"Budhikha
mari","Naya Purusot
tampur",13
Baripada,Budhikhamari,Ahari,21
